isco08_4digit,isco08_label_en,skill_level_1_4
8082,Occupational group 8082,4
8089,Occupational group 8089,4
8096,Occupational group 8096,4
8103,Occupational group 8103,3
8110,Occupational group 8110,3
8117,Occupational group 8117,4
8124,Occupational group 8124,4
8131,Occupational group 8131,3
8138,Occupational group 8138,4
8145,Occupational group 8145,3
8152,Occupational group 8152,4
8159,Occupational group 8159,3
8166,Occupational group 8166,3
8173,Occupational group 8173,4
8180,Occupational group 8180,4
8187,Occupational group 8187,4
8194,Occupational group 8194,4
8201,Occupational group 8201,2
8208,Occupational group 8208,2
8215,Occupational group 8215,2
8222,Occupational group 8222,4
8229,Occupational group 8229,2
8236,Occupational group 8236,2
8243,Occupational group 8243,3
8250,Occupational group 8250,3
8257,Occupational group 8257,2
8264,Occupational group 8264,1
8271,Occupational group 8271,1
8278,Occupational group 8278,2
8285,Occupational group 8285,3
8292,Occupational group 8292,3
8299,Occupational group 8299,2
8306,Occupational group 8306,1
8313,Occupational group 8313,4
8320,Occupational group 8320,4
8327,Occupational group 8327,4
8334,Occupational group 8334,4
8341,Occupational group 8341,2
8348,Occupational group 8348,1
8355,Occupational group 8355,1
8362,Occupational group 8362,4
8369,Occupational group 8369,2
8376,Occupational group 8376,2
8383,Occupational group 8383,2
8390,Occupational group 8390,4
8397,Occupational group 8397,2
8404,Occupational group 8404,1
8411,Occupational group 8411,4
8418,Occupational group 8418,4
8425,Occupational group 8425,4
8432,Occupational group 8432,2
8439,Occupational group 8439,3
8446,Occupational group 8446,2
8453,Occupational group 8453,3
8460,Occupational group 8460,3
8467,Occupational group 8467,3
8474,Occupational group 8474,2
8481,Occupational group 8481,3
8488,Occupational group 8488,1
8495,Occupational group 8495,2
8502,Occupational group 8502,2
8509,Occupational group 8509,2
8516,Occupational group 8516,3
8523,Occupational group 8523,4
8530,Occupational group 8530,3
8537,Occupational group 8537,4
8544,Occupational group 8544,3
8551,Occupational group 8551,3
8558,Occupational group 8558,3
8565,Occupational group 8565,4
8572,Occupational group 8572,3
8579,Occupational group 8579,4
8586,Occupational group 8586,1
8593,Occupational group 8593,3
8600,Occupational group 8600,2
8607,Occupational group 8607,3
8614,Occupational group 8614,2
8621,Occupational group 8621,3
8628,Occupational group 8628,3
8635,Occupational group 8635,3
8642,Occupational group 8642,2
8649,Occupational group 8649,1
8656,Occupational group 8656,3
8663,Occupational group 8663,2
8670,Occupational group 8670,1
8677,Occupational group 8677,4
8684,Occupational group 8684,3
8691,Occupational group 8691,3
8698,Occupational group 8698,3
8705,Occupational group 8705,3
8712,Occupational group 8712,2
8719,Occupational group 8719,2
8726,Occupational group 8726,4
8733,Occupational group 8733,3
8740,Occupational group 8740,3
8747,Occupational group 8747,4
8754,Occupational group 8754,2
8761,Occupational group 8761,4
8768,Occupational group 8768,3
8775,Occupational group 8775,3
8782,Occupational group 8782,2
8789,Occupational group 8789,2
8796,Occupational group 8796,1
8803,Occupational group 8803,4
8810,Occupational group 8810,4
8817,Occupational group 8817,1
8824,Occupational group 8824,2
8831,Occupational group 8831,1
8838,Occupational group 8838,1
8845,Occupational group 8845,2
8852,Occupational group 8852,2
8859,Occupational group 8859,1
8866,Occupational group 8866,3
8873,Occupational group 8873,1
8880,Occupational group 8880,4
8887,Occupational group 8887,2
8894,Occupational group 8894,2
8901,Occupational group 8901,4
8908,Occupational group 8908,4
8915,Occupational group 8915,3
8922,Occupational group 8922,1
8929,Occupational group 8929,1
8936,Occupational group 8936,1
8943,Occupational group 8943,4
8950,Occupational group 8950,2
8957,Occupational group 8957,4
8964,Occupational group 8964,2
8971,Occupational group 8971,2
8978,Occupational group 8978,1
8985,Occupational group 8985,4
8992,Occupational group 8992,3
8999,Occupational group 8999,4
9006,Occupational group 9006,3
9013,Occupational group 9013,1
9020,Occupational group 9020,4
9027,Occupational group 9027,1
9034,Occupational group 9034,3
9041,Occupational group 9041,3
9048,Occupational group 9048,4
9055,Occupational group 9055,3
9062,Occupational group 9062,3
9069,Occupational group 9069,2
9076,Occupational group 9076,3
9083,Occupational group 9083,2
9090,Occupational group 9090,3
9097,Occupational group 9097,4
9104,Occupational group 9104,3
9111,Occupational group 9111,4
9118,Occupational group 9118,3
9125,Occupational group 9125,2
9132,Occupational group 9132,4
9139,Occupational group 9139,3
9146,Occupational group 9146,3
9153,Occupational group 9153,4
9160,Occupational group 9160,4
9167,Occupational group 9167,4
9174,Occupational group 9174,2
9181,Occupational group 9181,1
9188,Occupational group 9188,2
9195,Occupational group 9195,1
9202,Occupational group 9202,4
9209,Occupational group 9209,4
9216,Occupational group 9216,4
9223,Occupational group 9223,2
9230,Occupational group 9230,1
9237,Occupational group 9237,3
9244,Occupational group 9244,2
9251,Occupational group 9251,4
9258,Occupational group 9258,2
9265,Occupational group 9265,2
9272,Occupational group 9272,4
9279,Occupational group 9279,4
9286,Occupational group 9286,1
9293,Occupational group 9293,4
9300,Occupational group 9300,3
9307,Occupational group 9307,3
9314,Occupational group 9314,2
9321,Occupational group 9321,1
9328,Occupational group 9328,4
9335,Occupational group 9335,2
9342,Occupational group 9342,1
9349,Occupational group 9349,2
9356,Occupational group 9356,4
9363,Occupational group 9363,4
9370,Occupational group 9370,4
9377,Occupational group 9377,3
9384,Occupational group 9384,3
9391,Occupational group 9391,4
9398,Occupational group 9398,3
9405,Occupational group 9405,3
9412,Occupational group 9412,2
9419,Occupational group 9419,4
9426,Occupational group 9426,3
9433,Occupational group 9433,4
9440,Occupational group 9440,3
9447,Occupational group 9447,1
9454,Occupational group 9454,3
9461,Occupational group 9461,2
9468,Occupational group 9468,3
9475,Occupational group 9475,2
9482,Occupational group 9482,3
9489,Occupational group 9489,4
9496,Occupational group 9496,2
9503,Occupational group 9503,3
9510,Occupational group 9510,3
9517,Occupational group 9517,4
9524,Occupational group 9524,3
9531,Occupational group 9531,4
9538,Occupational group 9538,3
9545,Occupational group 9545,3
9552,Occupational group 9552,2
9559,Occupational group 9559,2
9566,Occupational group 9566,3
9573,Occupational group 9573,2
9580,Occupational group 9580,2
9587,Occupational group 9587,3
9594,Occupational group 9594,2
9601,Occupational group 9601,3
9608,Occupational group 9608,1
9615,Occupational group 9615,2
9622,Occupational group 9622,4
9629,Occupational group 9629,1
9636,Occupational group 9636,1
9643,Occupational group 9643,4
9650,Occupational group 9650,3
9657,Occupational group 9657,4
9664,Occupational group 9664,1
9671,Occupational group 9671,2
9678,Occupational group 9678,3
9685,Occupational group 9685,2
9692,Occupational group 9692,3
9699,Occupational group 9699,1
