case_id,graduate_id,decision_ts,counselor_id,decision_path,consent_recorded,first_session_lag_d,scheduled_sessions,completed_sessions
CS-000291,G2018008306,2024-09-26 01:00:00,CN064,MANUAL_PUSH,1,22,5,5
CS-000292,G2018011288,2024-09-03 13:00:00,CN007,ADV_REVIEW,1,11,9,6
CS-000293,G2018005685,2023-03-15 05:00:00,CN043,ADV_REVIEW,1,12,8,6
CS-000294,G2018007831,2024-06-24 11:00:00,CN058,STUDENT_REQUEST,1,9,4,2
CS-000295,G2018014784,2024-07-23 18:00:00,CN048,MANUAL_PUSH,1,4,7,6
CS-000296,G2018011132,2023-04-05 11:00:00,CN006,AUTO_FLAG,1,20,9,9
CS-000297,G2018015561,2023-12-15 23:00:00,CN071,AUTO_FLAG,1,5,4,3
CS-000298,G2018001304,2024-07-19 21:00:00,CN035,STUDENT_REQUEST,1,10,9,4
CS-000299,G2018005365,2023-12-28 13:00:00,CN059,AUTO_FLAG,1,1,10,8
CS-000300,G2018019508,2024-10-20 10:00:00,CN022,STUDENT_REQUEST,1,15,6,3
CS-000301,G2018015772,2023-04-04 10:00:00,CN054,ADV_REVIEW,1,24,6,6
CS-000302,G2018000074,2023-08-01 02:00:00,CN023,AUTO_FLAG,1,26,6,3
CS-000303,G2018019783,2023-10-28 14:00:00,CN069,ADV_REVIEW,0,27,7,3
CS-000304,G2018010695,2024-05-23 10:00:00,CN012,AUTO_FLAG,1,13,5,4
CS-000305,G2018004571,2024-10-15 22:00:00,CN034,ADV_REVIEW,1,1,5,4
CS-000306,G2018020440,2024-10-18 20:00:00,CN028,AUTO_FLAG,1,16,5,5
CS-000307,G2018000881,2024-09-03 09:00:00,CN065,ADV_REVIEW,1,8,6,6
CS-000308,G2018021092,2024-08-01 23:00:00,CN067,AUTO_FLAG,1,0,6,5
CS-000309,G2018006655,2023-12-08 13:00:00,CN061,AUTO_FLAG,1,19,5,1
CS-000310,G2018015996,2024-11-23 06:00:00,CN020,ADV_REVIEW,1,2,8,8
CS-000311,G2018021491,2023-05-20 08:00:00,CN057,ADV_REVIEW,1,9,8,4
CS-000312,G2018014086,2024-09-05 14:00:00,CN029,AUTO_FLAG,1,27,5,2
CS-000313,G2018005173,2024-04-18 18:00:00,CN020,AUTO_FLAG,1,3,8,7
CS-000314,G2018018353,2023-08-19 19:00:00,CN019,AUTO_FLAG,1,2,13,10
CS-000315,G2018007043,2023-09-12 02:00:00,CN001,STUDENT_REQUEST,1,1,6,3
CS-000316,G2018005368,2024-08-20 14:00:00,CN066,AUTO_FLAG,1,4,7,2
CS-000317,G2018009897,2023-03-29 19:00:00,CN058,AUTO_FLAG,1,5,6,5
CS-000318,G2018020816,2024-02-12 23:00:00,CN045,STUDENT_REQUEST,1,11,10,5
CS-000319,G2018020352,2023-05-26 16:00:00,CN054,MANUAL_PUSH,1,5,6,5
CS-000320,G2018001042,2024-09-23 20:00:00,CN015,AUTO_FLAG,1,18,6,5
CS-000321,G2018006293,2023-08-04 05:00:00,CN068,MANUAL_PUSH,1,1,5,5
CS-000322,G2018016979,2023-08-05 03:00:00,CN041,AUTO_FLAG,1,10,7,5
CS-000323,G2018002027,2024-11-04 16:00:00,CN016,STUDENT_REQUEST,1,8,8,3
CS-000324,G2018017694,2024-05-03 04:00:00,CN056,AUTO_FLAG,1,5,6,6
CS-000325,G2018004996,2023-07-16 03:00:00,CN063,ADV_REVIEW,1,18,5,2
CS-000326,G2018009301,2023-04-11 13:00:00,CN004,AUTO_FLAG,1,14,12,10
CS-000327,G2018003532,2023-12-26 15:00:00,CN033,ADV_REVIEW,1,9,8,8
CS-000328,G2018016925,2023-12-13 05:00:00,CN037,MANUAL_PUSH,1,3,10,9
CS-000329,G2018008684,2023-06-04 09:00:00,CN002,MANUAL_PUSH,1,1,10,7
CS-000330,G2018009103,2024-11-27 15:00:00,CN019,STUDENT_REQUEST,1,5,9,6
CS-000331,G2018011794,2024-01-19 17:00:00,CN037,ADV_REVIEW,1,7,7,5
CS-000332,G2018000091,2023-10-11 17:00:00,CN006,ADV_REVIEW,1,27,13,13
CS-000333,G2018013407,2023-08-02 01:00:00,CN013,AUTO_FLAG,1,2,10,10
CS-000334,G2018008409,2024-11-07 10:00:00,CN042,AUTO_FLAG,1,12,10,6
CS-000335,G2018012501,2024-12-25 03:00:00,CN066,STUDENT_REQUEST,1,18,6,4
CS-000336,G2018005203,2024-08-01 02:00:00,CN050,AUTO_FLAG,1,5,2,1
CS-000337,G2018006507,2023-11-25 08:00:00,CN034,ADV_REVIEW,1,18,6,3
CS-000338,G2018003573,2024-01-26 07:00:00,CN031,AUTO_FLAG,1,11,6,4
CS-000339,G2018018929,2024-09-27 10:00:00,CN025,MANUAL_PUSH,1,1,11,9
CS-000340,G2018003828,2024-11-11 20:00:00,CN032,ADV_REVIEW,1,5,14,13
CS-000341,G2018008389,2023-07-07 20:00:00,CN047,AUTO_FLAG,1,27,8,8
CS-000342,G2018008407,2023-02-22 08:00:00,CN033,CAP_OVERFLOW,1,3,3,3
CS-000343,G2018007862,2023-06-06 08:00:00,CN034,CAP_OVERFLOW,1,1,9,4
CS-000344,G2018019545,2024-04-01 01:00:00,CN055,ADV_REVIEW,1,23,8,4
CS-000345,G2018020036,2023-11-16 00:00:00,CN061,CAP_OVERFLOW,0,14,3,2
CS-000346,G2018014678,2023-07-11 03:00:00,CN017,ADV_REVIEW,1,2,5,5
CS-000347,G2018010743,2023-05-26 18:00:00,CN065,AUTO_FLAG,1,26,10,10
CS-000348,G2018019455,2024-09-13 09:00:00,CN033,ADV_REVIEW,0,16,9,9
CS-000349,G2018012890,2023-04-11 22:00:00,CN006,AUTO_FLAG,1,8,8,8
CS-000350,G2018020986,2023-12-24 03:00:00,CN021,ADV_REVIEW,1,18,4,3
CS-000351,G2018009635,2023-07-30 14:00:00,CN064,STUDENT_REQUEST,1,8,11,8
CS-000352,G2018012729,2024-03-07 12:00:00,CN062,AUTO_FLAG,1,21,10,7
CS-000353,G2018009711,2023-12-27 03:00:00,CN048,STUDENT_REQUEST,1,1,5,5
CS-000354,G2018011551,2024-05-01 21:00:00,CN009,AUTO_FLAG,1,26,7,3
CS-000355,G2018004935,2024-03-19 00:00:00,CN021,STUDENT_REQUEST,1,13,5,5
CS-000356,G2018010879,2023-04-16 19:00:00,CN015,STUDENT_REQUEST,1,0,6,2
CS-000357,G2018020991,2023-06-21 07:00:00,CN005,ADV_REVIEW,1,1,11,9
CS-000358,G2018004317,2024-06-17 20:00:00,CN004,STUDENT_REQUEST,1,19,10,9
CS-000359,G2018011829,2023-10-04 07:00:00,CN004,ADV_REVIEW,1,13,10,10
CS-000360,G2018013372,2023-11-10 18:00:00,CN021,AUTO_FLAG,1,4,6,5
CS-000361,G2018020548,2023-03-14 13:00:00,CN004,AUTO_FLAG,1,11,6,5
CS-000362,G2018010418,2024-09-29 03:00:00,CN012,CAP_OVERFLOW,1,26,5,3
CS-000363,G2018018895,2023-02-10 07:00:00,CN019,AUTO_FLAG,1,22,7,4
CS-000364,G2018006949,2023-12-15 04:00:00,CN025,AUTO_FLAG,1,0,8,8
CS-000365,G2018010392,2023-06-21 04:00:00,CN012,MANUAL_PUSH,1,21,8,6
CS-000366,G2018006038,2023-10-05 21:00:00,CN028,ADV_REVIEW,1,0,8,6
CS-000367,G2018017822,2023-01-05 23:00:00,CN015,STUDENT_REQUEST,1,14,4,1
CS-000368,G2018018212,2023-12-01 05:00:00,CN006,STUDENT_REQUEST,1,20,6,4
CS-000369,G2018004167,2024-02-29 20:00:00,CN031,STUDENT_REQUEST,1,1,3,2
CS-000370,G2018011382,2023-09-23 09:00:00,CN049,AUTO_FLAG,1,13,7,1
CS-000371,G2018000760,2024-01-09 13:00:00,CN028,STUDENT_REQUEST,1,14,9,8
CS-000372,G2018010432,2024-06-20 09:00:00,CN038,STUDENT_REQUEST,1,11,9,6
CS-000373,G2018017049,2024-07-30 13:00:00,CN010,AUTO_FLAG,1,24,6,6
CS-000374,G2018011276,2024-02-25 20:00:00,CN070,AUTO_FLAG,1,16,6,3
CS-000375,G2018014895,2024-11-04 00:00:00,CN023,AUTO_FLAG,1,25,12,12
CS-000376,G2018019901,2024-11-21 08:00:00,CN065,CAP_OVERFLOW,1,23,12,10
CS-000377,G2018010526,2023-03-14 12:00:00,CN071,STUDENT_REQUEST,1,0,10,5
CS-000378,G2018021551,2023-12-06 20:00:00,CN067,AUTO_FLAG,1,27,9,5
CS-000379,G2018011075,2024-05-15 03:00:00,CN048,ADV_REVIEW,1,24,5,0
CS-000380,G2018015344,2024-06-06 07:00:00,CN058,CAP_OVERFLOW,1,22,1,0
CS-000381,G2018002504,2024-09-24 02:00:00,CN047,AUTO_FLAG,1,8,12,9
CS-000382,G2018005209,2023-04-24 13:00:00,CN046,ADV_REVIEW,1,18,4,3
CS-000383,G2018001831,2023-11-14 22:00:00,CN010,ADV_REVIEW,1,26,6,3
CS-000384,G2018002950,2024-04-03 02:00:00,CN035,AUTO_FLAG,1,16,7,4
CS-000385,G2018008799,2023-09-04 20:00:00,CN055,CAP_OVERFLOW,1,17,6,5
CS-000386,G2018004431,2024-01-06 15:00:00,CN048,ADV_REVIEW,1,16,8,8
CS-000387,G2018008125,2023-06-24 16:00:00,CN065,AUTO_FLAG,1,9,5,4
CS-000388,G2018020063,2023-07-12 01:00:00,CN033,ADV_REVIEW,1,5,7,7
CS-000389,G2018017675,2024-05-14 15:00:00,CN071,ADV_REVIEW,1,26,10,6
CS-000390,G2018013405,2024-10-23 05:00:00,CN010,AUTO_FLAG,1,2,7,7
CS-000391,G2018020532,2024-03-01 01:00:00,CN027,ADV_REVIEW,1,22,6,4
CS-000392,G2018016622,2024-12-21 17:00:00,CN046,ADV_REVIEW,1,23,9,5
CS-000393,G2018005610,2024-08-30 19:00:00,CN034,AUTO_FLAG,1,4,10,4
CS-000394,G2018008484,2024-06-08 02:00:00,CN011,AUTO_FLAG,1,8,10,8
CS-000395,G2018017375,2023-08-10 14:00:00,CN052,CAP_OVERFLOW,1,19,7,2
CS-000396,G2018001357,2023-05-31 13:00:00,CN069,AUTO_FLAG,1,26,1,1
CS-000397,G2018013269,2023-02-09 09:00:00,CN032,AUTO_FLAG,1,11,5,5
CS-000398,G2018009361,2023-02-24 05:00:00,CN071,ADV_REVIEW,1,20,4,2
CS-000399,G2018015283,2023-07-12 15:00:00,CN017,AUTO_FLAG,1,14,8,4
CS-000400,G2018013791,2024-03-17 14:00:00,CN037,ADV_REVIEW,1,7,5,5
CS-000401,G2018010059,2023-07-29 17:00:00,CN010,STUDENT_REQUEST,1,12,7,6
CS-000402,G2018006672,2024-04-25 11:00:00,CN009,CAP_OVERFLOW,1,25,10,7
CS-000403,G2018016493,2024-04-24 00:00:00,CN003,ADV_REVIEW,0,15,10,10
CS-000404,G2018019675,2024-10-06 15:00:00,CN004,CAP_OVERFLOW,1,17,14,14
CS-000405,G2018008766,2024-01-31 04:00:00,CN031,AUTO_FLAG,1,27,13,6
CS-000406,G2018007387,2024-05-21 07:00:00,CN018,ADV_REVIEW,1,1,10,10
CS-000407,G2018012834,2024-04-19 12:00:00,CN033,AUTO_FLAG,1,26,6,1
CS-000408,G2018002861,2023-02-04 10:00:00,CN030,ADV_REVIEW,1,4,6,6
CS-000409,G2018001772,2024-04-26 21:00:00,CN060,ADV_REVIEW,1,20,8,5
CS-000410,G2018015382,2023-10-14 17:00:00,CN006,AUTO_FLAG,1,3,6,3
CS-000411,G2018016895,2023-04-26 20:00:00,CN054,ADV_REVIEW,1,20,5,5
CS-000412,G2018015530,2023-09-06 03:00:00,CN030,STUDENT_REQUEST,1,7,7,7
CS-000413,G2018003612,2023-03-27 01:00:00,CN001,AUTO_FLAG,1,24,5,5
CS-000414,G2018015418,2024-07-16 00:00:00,CN026,CAP_OVERFLOW,1,26,5,5
CS-000415,G2018019904,2023-04-15 22:00:00,CN049,ADV_REVIEW,1,2,5,5
CS-000416,G2018006803,2023-10-28 05:00:00,CN047,STUDENT_REQUEST,1,8,12,12
CS-000417,G2018003206,2023-04-03 01:00:00,CN059,MANUAL_PUSH,1,1,8,8
CS-000418,G2018017082,2024-05-10 10:00:00,CN001,CAP_OVERFLOW,1,26,8,3
CS-000419,G2018015421,2023-08-07 03:00:00,CN045,AUTO_FLAG,1,18,6,6
CS-000420,G2018015179,2023-07-14 12:00:00,CN053,AUTO_FLAG,1,1,13,13
CS-000421,G2018013736,2024-02-06 10:00:00,CN009,STUDENT_REQUEST,1,2,7,3
CS-000422,G2018004772,2023-07-07 08:00:00,CN051,ADV_REVIEW,1,13,8,5
CS-000423,G2018008908,2023-11-25 14:00:00,CN069,AUTO_FLAG,1,16,4,1
CS-000424,G2018019791,2024-07-26 07:00:00,CN044,ADV_REVIEW,1,0,11,11
CS-000425,G2018003145,2024-04-11 03:00:00,CN000,AUTO_FLAG,1,16,3,0
CS-000426,G2018007014,2024-04-03 23:00:00,CN061,ADV_REVIEW,1,11,8,4
CS-000427,G2018001666,2023-08-01 06:00:00,CN026,ADV_REVIEW,1,16,6,6
CS-000428,G2018019712,2023-12-16 03:00:00,CN057,STUDENT_REQUEST,1,14,10,10
CS-000429,G2018018477,2023-01-29 20:00:00,CN037,AUTO_FLAG,1,0,6,4
CS-000430,G2018000008,2024-12-30 17:00:00,CN065,AUTO_FLAG,1,3,8,3
CS-000431,G2018021356,2024-08-03 08:00:00,CN030,CAP_OVERFLOW,1,25,8,7
CS-000432,G2018003482,2023-03-08 18:00:00,CN046,AUTO_FLAG,1,18,5,5
CS-000433,G2018010115,2024-05-27 10:00:00,CN054,ADV_REVIEW,1,18,12,9
CS-000434,G2018010185,2024-03-06 22:00:00,CN060,AUTO_FLAG,1,0,6,4
CS-000435,G2018015843,2024-11-17 03:00:00,CN003,ADV_REVIEW,1,21,6,5
CS-000436,G2018003529,2024-07-03 14:00:00,CN029,AUTO_FLAG,1,12,11,8
CS-000437,G2018014364,2023-09-20 16:00:00,CN061,STUDENT_REQUEST,1,10,9,8
CS-000438,G2018018755,2023-05-05 23:00:00,CN054,AUTO_FLAG,0,2,3,0
CS-000439,G2018014212,2024-10-09 20:00:00,CN025,AUTO_FLAG,1,6,4,2
CS-000440,G2018004265,2023-10-27 13:00:00,CN044,ADV_REVIEW,1,0,4,2
CS-000441,G2018006163,2024-08-11 07:00:00,CN067,AUTO_FLAG,1,4,2,0
CS-000442,G2018021266,2024-01-05 12:00:00,CN061,ADV_REVIEW,1,2,6,3
CS-000443,G2018020259,2023-12-15 00:00:00,CN000,AUTO_FLAG,1,15,7,4
CS-000444,G2018008753,2023-12-08 05:00:00,CN000,AUTO_FLAG,1,7,4,2
CS-000445,G2018018507,2024-09-30 09:00:00,CN006,CAP_OVERFLOW,1,26,8,8
CS-000446,G2018003628,2023-08-31 06:00:00,CN010,ADV_REVIEW,1,13,11,11
CS-000447,G2018015796,2024-05-11 18:00:00,CN054,ADV_REVIEW,1,0,1,1
CS-000448,G2018010618,2023-07-12 18:00:00,CN000,AUTO_FLAG,1,15,5,3
CS-000449,G2018019688,2024-02-03 04:00:00,CN050,AUTO_FLAG,1,18,7,5
CS-000450,G2018016391,2024-07-01 18:00:00,CN005,ADV_REVIEW,1,18,5,3
CS-000451,G2018021126,2023-01-23 14:00:00,CN067,ADV_REVIEW,1,24,7,7
CS-000452,G2018016553,2023-11-21 02:00:00,CN028,MANUAL_PUSH,1,2,4,4
CS-000453,G2018015878,2024-12-23 07:00:00,CN048,AUTO_FLAG,0,6,15,9
CS-000454,G2018010867,2023-06-10 11:00:00,CN053,AUTO_FLAG,1,22,12,6
CS-000455,G2018001118,2024-04-12 14:00:00,CN030,ADV_REVIEW,1,16,8,8
CS-000456,G2018020430,2023-08-22 02:00:00,CN046,AUTO_FLAG,1,14,10,7
CS-000457,G2018016907,2024-08-25 06:00:00,CN010,STUDENT_REQUEST,1,27,9,9
CS-000458,G2018001498,2024-09-22 17:00:00,CN033,STUDENT_REQUEST,1,24,10,10
CS-000459,G2018009227,2024-05-04 10:00:00,CN069,CAP_OVERFLOW,1,10,10,10
CS-000460,G2018021141,2024-01-11 07:00:00,CN035,ADV_REVIEW,1,26,8,8
CS-000461,G2018002939,2024-06-12 15:00:00,CN061,STUDENT_REQUEST,1,27,6,3
CS-000462,G2018006694,2023-08-15 21:00:00,CN027,AUTO_FLAG,1,0,4,3
CS-000463,G2018016832,2023-03-18 00:00:00,CN001,AUTO_FLAG,1,11,13,13
CS-000464,G2018016596,2023-05-29 01:00:00,CN001,AUTO_FLAG,1,18,8,6
CS-000465,G2018013992,2023-12-23 21:00:00,CN053,AUTO_FLAG,1,20,5,3
CS-000466,G2018020800,2024-08-31 19:00:00,CN056,ADV_REVIEW,1,23,6,6
CS-000467,G2018016632,2023-02-14 06:00:00,CN015,STUDENT_REQUEST,1,20,12,9
CS-000468,G2018016368,2024-09-19 12:00:00,CN006,AUTO_FLAG,1,24,6,3
CS-000469,G2018020320,2023-03-23 04:00:00,CN037,ADV_REVIEW,1,26,7,2
CS-000470,G2018000978,2023-10-26 20:00:00,CN031,AUTO_FLAG,1,21,7,5
CS-000471,G2018010125,2024-01-05 01:00:00,CN015,AUTO_FLAG,1,4,5,5
CS-000472,G2018015852,2023-04-06 14:00:00,CN064,ADV_REVIEW,1,27,8,4
CS-000473,G2018012854,2024-11-25 06:00:00,CN012,AUTO_FLAG,1,21,5,5
CS-000474,G2018013287,2024-01-20 15:00:00,CN032,AUTO_FLAG,1,15,7,7
CS-000475,G2018005641,2024-12-11 08:00:00,CN028,AUTO_FLAG,1,2,9,2
CS-000476,G2018006401,2024-06-19 22:00:00,CN057,ADV_REVIEW,1,0,6,6
CS-000477,G2018021028,2023-12-18 05:00:00,CN039,AUTO_FLAG,1,18,4,4
CS-000478,G2018004388,2024-04-05 19:00:00,CN064,ADV_REVIEW,1,0,3,2
CS-000479,G2018013626,2023-06-02 09:00:00,CN010,AUTO_FLAG,1,24,7,7
CS-000480,G2018000317,2023-01-11 04:00:00,CN065,CAP_OVERFLOW,1,26,5,3
CS-000481,G2018020941,2024-02-29 04:00:00,CN032,ADV_REVIEW,1,11,7,3
CS-000482,G2018005031,2024-08-11 03:00:00,CN033,AUTO_FLAG,1,27,7,4
CS-000483,G2018014297,2023-04-21 16:00:00,CN024,AUTO_FLAG,1,12,7,7
CS-000484,G2018003850,2023-08-20 17:00:00,CN035,STUDENT_REQUEST,1,8,10,6
CS-000485,G2018015332,2023-02-16 02:00:00,CN022,ADV_REVIEW,1,22,4,4
CS-000486,G2018016035,2024-06-03 02:00:00,CN059,ADV_REVIEW,1,24,9,4
CS-000487,G2018011456,2023-03-07 12:00:00,CN017,AUTO_FLAG,1,8,3,2
CS-000488,G2018020087,2024-12-20 15:00:00,CN022,STUDENT_REQUEST,1,22,11,11
CS-000489,G2018012017,2023-04-01 22:00:00,CN063,STUDENT_REQUEST,1,9,2,0
CS-000490,G2018001157,2024-09-10 12:00:00,CN043,ADV_REVIEW,1,0,5,1
CS-000491,G2018017075,2023-10-19 03:00:00,CN070,AUTO_FLAG,1,8,6,6
CS-000492,G2018007871,2024-08-14 17:00:00,CN026,STUDENT_REQUEST,1,3,13,9
CS-000493,G2018012156,2023-07-12 04:00:00,CN005,ADV_REVIEW,1,15,5,2
CS-000494,G2018018000,2023-10-14 06:00:00,CN023,STUDENT_REQUEST,1,16,7,7
CS-000495,G2018019367,2023-07-10 06:00:00,CN006,ADV_REVIEW,1,5,5,5
CS-000496,G2018019688,2024-08-20 04:00:00,CN057,AUTO_FLAG,1,14,7,5
CS-000497,G2018005160,2023-06-10 18:00:00,CN056,AUTO_FLAG,1,14,7,6
CS-000498,G2018008325,2023-05-29 14:00:00,CN025,AUTO_FLAG,1,9,10,9
CS-000499,G2018006210,2023-10-01 20:00:00,CN053,AUTO_FLAG,1,20,8,3
