student_id,hs_gpa_unweighted,hs_gpa_weighted,class_rank_percentile,ap_courses_count
S201302171,4.0,3.98,27,4
S201302172,2.82,3.0,37,2
S201302173,3.08,3.04,43,3
S201302174,3.56,3.72,12,6
S201302175,3.64,3.8,32,2
S201302176,4.0,4.13,6,1
S201302177,3.35,3.52,28,3
S201302178,2.46,2.57,67,3
S201302179,2.96,3.15,45,1
S201302180,3.58,3.93,23,0
S201302181,3.19,3.33,32,2
S201302182,4.0,4.22,34,0
S201302183,3.99,4.17,26,1
S201302184,3.28,3.34,43,3
S201302185,2.93,3.11,40,5
S201302186,3.14,3.16,42,5
S201302187,3.2,3.43,31,5
S201302188,3.05,3.3,33,7
S201302189,3.69,3.9,27,0
S201302190,2.5,2.52,53,1
S201302191,3.89,4.13,32,4
S201302192,3.39,3.61,22,1
S201302193,3.06,3.18,14,0
S201302194,3.55,3.66,30,0
S201302195,3.17,3.17,49,3
S201302196,3.2,3.4,38,3
S201302197,4.0,4.08,9,3
S201302198,3.11,3.23,39,3
S201302199,3.43,3.45,24,0
S201302200,3.4,3.61,13,1
S201302201,4.0,4.33,12,6
S201302202,3.64,3.74,27,2
S201302203,3.11,3.24,24,3
S201302204,3.4,3.43,38,7
S201302205,3.35,3.49,30,2
S201302206,3.5,3.62,39,6
S201302207,3.39,3.53,36,8
S201302208,2.97,3.01,32,1
S201302209,3.14,3.19,30,2
S201302210,3.12,3.18,33,4
S201302211,2.78,2.83,45,6
S201302212,3.0,3.15,41,1
S201302213,3.74,3.92,36,0
S201302214,2.96,3.0,45,0
S201302215,3.05,3.24,33,1
S201302216,4.0,4.14,18,6
S201302217,3.04,3.03,29,2
S201302218,3.05,3.21,52,1
S201302219,3.7,3.9,21,6
S201302220,3.22,3.37,41,0
S201302221,2.52,2.73,42,2
S201302222,3.03,3.26,43,4
S201302223,3.15,3.24,39,2
S201302224,3.74,3.84,32,2
S201302225,3.8,3.95,21,3
S201302226,3.63,3.92,24,7
S201302227,2.79,3.02,48,5
S201302228,3.58,3.98,20,3
S201302229,3.32,3.41,29,6
S201302230,3.75,3.97,27,2
S201302231,4.0,4.29,12,1
S201302232,3.01,3.23,33,6
S201302233,3.95,4.15,23,6
S201302234,3.43,3.66,26,6
S201302235,3.06,3.16,35,7
S201302236,4.0,4.09,7,3
S201302237,3.02,3.26,35,4
S201302238,4.0,4.14,20,4
S201302239,2.79,3.0,36,5
S201302240,2.76,2.94,31,7
S201302241,3.51,3.62,18,0
S201302242,2.87,2.94,34,0
S201302243,2.73,2.71,48,3
S201302244,3.02,3.19,40,2
S201302245,3.31,3.36,40,6
S201302246,3.13,3.23,42,5
S201302247,3.16,3.43,33,5
S201302248,2.95,3.13,44,0
S201302249,3.68,3.8,23,7
S201302250,4.0,4.16,16,3
S201302251,3.3,3.61,22,2
S201302252,3.03,3.22,31,0
S201302253,3.3,3.38,23,2
S201302254,3.12,3.19,25,2
S201302255,2.91,2.94,41,7
S201302256,3.94,4.09,12,5
S201302257,2.92,2.95,43,5
S201302258,3.61,3.75,24,0
S201302259,3.71,3.87,18,7
S201302260,4.0,4.1,13,7
S201302261,3.09,2.94,42,7
S201302262,3.19,3.26,38,7
S201302263,3.78,3.86,9,1
S201302264,3.55,3.65,5,0
S201302265,3.51,3.74,11,5
S201302266,3.59,3.85,21,5
S201302267,2.89,2.98,37,1
S201302268,2.89,3.08,47,2
S201302269,3.34,3.27,31,1
S201302270,4.0,3.94,23,6
S201302271,2.68,2.75,35,1
S201302272,2.94,3.12,37,2
S201302273,2.99,3.2,36,4
S201302274,2.04,2.07,57,2
S201302275,3.28,3.48,30,3
S201302276,3.35,3.57,35,0
S201302277,3.41,3.66,32,7
S201302278,3.38,3.62,32,4
S201302279,3.39,3.45,28,1
S201302280,3.74,3.98,9,3
S201302281,2.96,2.97,49,3
S201302282,2.93,3.21,49,4
S201302283,2.5,2.67,60,4
S201302284,4.0,3.98,20,3
S201302285,2.62,2.93,40,1
S201302286,2.81,3.01,69,0
S201302287,3.05,3.11,42,1
S201302288,3.93,4.13,25,6
S201302289,2.95,3.09,45,6
S201302290,2.56,2.69,40,3
S201302291,2.58,2.68,55,0
S201302292,2.63,2.65,42,4
S201302293,3.09,3.11,41,4
S201302294,3.12,3.23,31,0
S201302295,3.99,4.01,25,5
S201302296,3.14,3.32,32,6
S201302297,3.79,3.96,27,3
S201302298,2.45,2.51,65,2
S201302299,2.51,2.94,53,2
S201302300,3.3,3.35,21,3
S201302301,3.21,3.48,33,1
S201302302,3.71,4.02,23,1
S201302303,3.06,3.34,49,3
S201302304,2.45,2.61,60,3
S201302305,3.66,3.94,12,2
S201302306,3.96,4.22,21,2
S201302307,3.42,3.68,28,6
S201302308,3.11,3.09,34,4
S201302309,3.25,3.47,32,4
S201302310,3.5,3.45,21,0
S201302311,3.54,3.61,15,8
S201302312,3.57,3.56,27,3
S201302313,3.74,3.78,21,0
S201302314,2.85,3.22,30,2
S201302315,2.65,2.97,48,2
S201302316,2.98,3.17,48,2
S201302317,3.19,3.25,43,2
S201302318,2.99,3.09,45,7
S201302319,2.33,2.48,66,6
S201302320,2.96,3.18,27,5
S201302321,4.0,4.25,20,0
S201302322,2.84,2.95,46,4
S201302323,3.08,3.32,49,1
S201302324,2.82,2.9,44,5
S201302325,2.96,2.97,53,5
S201302326,3.82,4.04,31,4
S201302327,2.71,3.06,52,3
S201302328,3.11,3.31,39,2
S201302329,3.68,3.93,29,0
S201302330,2.91,2.97,52,2
S201302331,4.0,4.14,7,6
S201302332,2.83,3.06,40,4
S201302333,2.51,2.7,32,0
S201302334,2.98,3.18,54,2
S201302335,2.97,3.04,34,4
S201302336,3.51,3.75,25,1
S201302337,3.14,3.46,36,3
S201302338,3.15,3.36,29,8
S201302339,2.58,2.82,46,4
S201302340,2.59,2.77,53,4
S201302341,4.0,4.14,27,2
S201302342,2.78,2.83,46,0
S201302343,4.0,4.17,25,5
S201302344,3.26,3.51,19,3
S201302345,2.8,2.91,50,3
S201302346,3.73,3.79,29,1
S201302347,2.92,3.12,55,0
S201302348,3.7,3.8,12,4
S201302349,2.74,2.87,72,0
S201302350,2.89,2.92,36,1
S201302351,3.86,3.9,20,0
S201302352,3.44,3.6,15,6
S201302353,3.35,3.29,35,1
S201302354,3.16,3.41,32,3
S201302355,3.15,3.37,26,0
S201302356,3.7,4.04,26,6
S201302357,2.58,2.82,44,4
S201302358,3.65,3.95,26,4
S201302359,2.92,3.06,39,0
S201302360,3.72,3.8,17,4
S201302361,2.59,2.76,39,2
S201302362,2.87,3.17,40,4
S201302363,3.15,3.35,35,4
S201302364,2.64,2.89,48,1
S201302365,3.27,3.35,23,0
S201302366,3.34,3.48,48,3
S201302367,2.65,2.72,40,0
S201302368,4.0,4.15,17,5
S201302369,3.52,3.64,35,2
S201302370,2.72,2.87,57,3
S201302371,3.52,3.73,31,2
S201302372,2.58,2.74,38,3
S201302373,2.43,2.52,41,4
S201302374,3.2,3.26,40,2
S201302375,3.63,3.74,21,6
S201302376,3.91,3.86,36,4
S201302377,3.69,3.81,26,1
S201302378,3.93,4.01,26,5
S201302379,3.23,3.44,27,2
S201302380,2.63,2.59,41,2
S201302381,3.57,3.66,35,7
S201302382,3.68,3.8,29,2
S201302383,2.84,3.13,47,0
S201302384,3.47,3.68,24,7
S201302385,3.16,3.26,39,0
S201302386,2.46,2.66,59,3
S201302387,2.69,2.7,41,0
S201302388,2.68,2.87,49,6
S201302389,3.71,3.93,43,1
S201302390,2.99,3.16,34,0
S201302391,3.64,3.88,33,3
S201302392,2.64,3.03,54,6
S201302393,3.37,3.46,30,3
S201302394,3.49,3.69,33,0
S201302395,3.74,3.95,12,6
S201302396,3.13,3.11,50,2
S201302397,2.64,2.76,49,5
S201302398,2.84,3.06,47,0
S201302399,3.37,3.47,29,5
S201302400,3.33,3.51,38,5
S201302401,3.94,4.3,24,6
S201302402,3.24,3.45,24,5
S201302403,3.39,3.44,44,6
S201302404,3.13,3.14,29,5
S201302405,3.52,3.56,27,2
S201302406,3.15,3.28,45,2
S201302407,3.5,3.65,18,2
S201302408,3.25,3.4,39,3
S201302409,2.71,2.84,40,0
S201302410,3.64,3.84,26,3
S201302411,3.34,3.48,48,6
S201302412,3.41,3.52,39,5
S201302413,3.06,3.04,36,0
S201302414,2.66,2.82,35,1
S201302415,3.35,3.46,26,3
S201302416,3.64,3.82,21,5
S201302417,3.5,3.63,36,1
S201302418,3.19,3.31,37,4
S201302419,3.08,3.24,41,6
S201302420,3.74,3.96,19,4
S201302421,3.12,3.19,42,8
S201302422,3.6,3.71,29,7
S201302423,2.79,2.92,44,5
S201302424,3.22,3.34,26,0
S201302425,3.76,3.96,15,5
S201302426,3.06,3.22,37,6
S201302427,3.64,3.78,31,0
S201302428,3.21,3.36,27,0
S201302429,3.05,3.18,38,4
S201302430,3.24,3.24,34,3
S201302431,3.08,3.44,30,5
S201302432,2.85,2.94,45,4
S201302433,3.39,3.5,24,5
S201302434,3.1,3.23,35,0
S201302435,3.08,3.25,39,1
S201302436,3.64,3.83,36,3
S201302437,3.16,3.2,46,0
S201302438,3.94,4.04,23,0
S201302439,4.0,4.08,21,3
S201302440,3.78,3.99,11,5
S201302441,2.67,2.89,41,6
S201302442,3.25,3.46,39,5
S201302443,3.44,3.56,30,3
S201302444,2.74,2.82,47,0
S201302445,3.17,3.34,37,0
S201302446,3.91,4.02,40,1
S201302447,2.87,3.23,46,4
S201302448,3.03,3.19,36,2
S201302449,3.48,3.6,14,1
S201302450,3.71,3.8,23,5
S201302451,3.43,3.56,23,3
S201302452,2.81,3.01,58,0
S201302453,2.57,2.83,46,2
S201302454,2.91,3.0,43,7
S201302455,3.33,3.58,34,0
S201302456,3.65,3.76,24,2
S201302457,3.62,3.78,17,6
S201302458,3.74,3.88,29,0
S201302459,4.0,4.29,27,2
S201302460,3.09,3.27,43,2
S201302461,3.41,3.4,33,4
S201302462,3.9,4.21,24,5
S201302463,4.0,4.06,15,0
S201302464,3.35,3.37,15,3
S201302465,2.62,2.92,47,4
S201302466,2.68,2.77,43,7
S201302467,3.12,3.25,39,4
S201302468,2.96,3.18,32,7
S201302469,3.0,3.04,20,2
S201302470,3.95,4.14,22,5
S201302471,3.54,3.75,18,0
S201302472,3.28,3.37,26,1
S201302473,2.13,2.29,43,5
S201302474,2.28,2.54,56,1
S201302475,4.0,4.21,23,2
S201302476,3.86,3.91,20,3
S201302477,3.21,3.43,44,1
S201302478,3.53,3.66,34,6
S201302479,3.29,3.4,43,1
S201302480,3.31,3.59,35,7
S201302481,2.38,2.6,51,7
S201302482,4.0,4.14,11,7
S201302483,3.47,3.7,34,5
S201302484,3.1,3.21,35,2
S201302485,2.84,3.08,52,7
S201302486,3.51,3.61,27,3
S201302487,2.67,2.81,45,2
S201302488,3.42,3.62,40,3
S201302489,3.24,3.49,26,3
S201302490,3.48,3.53,29,2
S201302491,4.0,4.18,31,3
S201302492,3.0,3.06,42,0
S201302493,3.0,2.97,44,6
S201302494,2.69,3.2,43,0
S201302495,4.0,4.14,7,8
S201302496,3.34,3.53,35,1
S201302497,3.65,3.8,28,2
S201302498,3.15,3.61,41,0
S201302499,3.91,4.15,12,8
S201302500,3.4,3.41,29,0
S201302501,2.72,2.84,38,2
S201302502,2.98,3.31,36,1
S201302503,3.2,3.28,30,0
S201302504,3.27,3.51,16,5
S201302505,2.82,3.13,48,0
S201302506,3.02,3.13,25,1
S201302507,3.96,4.09,14,4
S201302508,3.28,3.45,34,1
S201302509,2.91,2.98,55,2
S201302510,2.99,3.18,56,1
S201302511,3.27,3.49,33,7
S201302512,3.33,3.64,35,2
S201302513,2.77,2.65,51,5
S201302514,2.59,2.75,66,4
S201302515,3.09,3.07,36,1
S201302516,3.32,3.75,31,3
S201302517,2.91,3.05,32,2
S201302518,3.17,3.26,37,2
S201302519,4.0,4.25,14,3
S201302520,3.78,3.92,17,3
S201302521,2.84,2.94,40,8
S201302522,3.47,3.67,32,3
S201302523,3.59,3.82,29,4
S201302524,3.85,3.95,8,2
S201302525,3.51,3.46,38,3
S201302526,3.7,3.81,24,4
S201302527,2.9,3.26,41,4
S201302528,3.35,3.61,25,5
S201302529,4.0,4.18,13,3
S201302530,3.63,3.79,29,0
S201302531,2.73,2.74,52,0
S201302532,3.21,3.3,39,0
S201302533,3.86,4.12,17,0
S201302534,3.74,3.85,21,8
S201302535,3.41,3.65,36,0
S201302536,3.02,3.21,32,4
S201302537,3.92,4.1,15,2
S201302538,3.16,3.28,36,5
S201302539,2.81,3.12,49,4
S201302540,3.01,3.09,49,4
S201302541,4.0,4.11,22,3
S201302542,3.82,4.05,32,1
S201302543,3.1,3.29,35,4
S201302544,3.43,3.6,35,2
S201302545,2.57,2.73,45,2
S201302546,2.67,2.9,31,0
S201302547,2.58,2.77,48,3
S201302548,3.79,3.94,20,0
S201302549,2.77,2.81,60,0
S201302550,2.39,2.64,60,6
S201302551,3.31,3.6,36,1
S201302552,3.58,3.74,24,5
S201302553,3.17,3.28,36,3
S201302554,4.0,4.2,12,5
S201302555,2.6,3.0,51,2
S201302556,4.0,4.19,8,1
S201302557,2.33,2.53,61,6
S201302558,2.8,3.05,28,4
S201302559,3.38,3.59,43,1
S201302560,3.04,3.19,44,2
S201302561,4.0,4.07,15,4
S201302562,3.43,3.63,41,4
S201302563,3.64,3.81,27,3
S201302564,3.55,3.68,24,2
S201302565,2.76,2.98,52,1
S201302566,2.94,2.97,42,0
S201302567,3.44,3.57,35,3
S201302568,2.98,3.17,58,3
S201302569,2.9,3.07,46,0
S201302570,3.33,3.52,42,5
S201302571,2.89,2.95,44,0
S201302572,2.64,2.69,45,0
S201302573,3.46,3.67,47,0
S201302574,2.78,2.97,48,1
S201302575,2.96,2.94,28,4
S201302576,4.0,4.26,11,1
S201302577,2.82,3.25,38,5
S201302578,3.09,3.15,53,6
S201302579,2.71,2.91,56,4
S201302580,3.16,3.33,26,2
S201302581,3.95,4.25,24,3
S201302582,3.43,3.45,41,3
S201302583,3.55,3.58,14,4
S201302584,3.39,3.44,27,3
S201302585,2.73,2.96,36,1
S201302586,3.23,3.23,37,3
S201302587,3.67,3.65,14,1
S201302588,3.71,3.9,29,5
S201302589,3.21,3.37,45,2
S201302590,3.53,3.78,18,5
S201302591,2.43,2.41,51,3
S201302592,3.93,4.22,19,4
S201302593,3.39,3.45,34,5
S201302594,3.33,3.64,37,3
S201302595,3.75,4.01,36,1
S201302596,3.04,3.3,44,2
S201302597,2.49,2.85,49,4
S201302598,2.98,3.23,28,1
S201302599,3.84,3.91,38,7
S201302600,3.35,3.39,23,3
S201302601,2.62,2.77,38,0
S201302602,2.6,2.64,41,3
S201302603,3.54,3.62,23,2
S201302604,3.08,3.34,40,3
S201302605,3.23,3.42,30,3
S201302606,3.43,3.67,32,4
S201302607,2.73,2.95,44,1
S201302608,2.22,2.27,71,2
S201302609,2.92,3.16,36,3
S201302610,3.67,3.87,16,1
S201302611,3.05,3.18,20,8
S201302612,4.0,4.11,15,6
S201302613,2.72,2.88,47,8
S201302614,3.85,4.09,19,3
S201302615,3.42,3.47,34,3
S201302616,3.19,3.35,34,0
S201302617,2.88,3.02,38,4
S201302618,3.25,3.27,34,1
S201302619,2.78,2.8,45,2
S201302620,3.58,3.68,34,1
S201302621,2.29,2.37,56,0
S201302622,3.34,3.45,33,1
S201302623,3.73,3.8,26,6
S201302624,3.2,3.25,48,7
S201302625,3.22,3.32,29,3
S201302626,3.36,3.6,23,3
S201302627,3.55,3.67,23,2
S201302628,2.8,3.01,55,6
S201302629,3.39,3.57,30,2
S201302630,3.3,3.52,35,3
S201302631,1.89,2.1,64,6
S201302632,3.12,3.33,31,5
S201302633,2.91,3.0,54,0
S201302634,2.34,2.47,48,1
S201302635,3.5,3.6,30,4
S201302636,3.08,3.1,24,3
S201302637,2.61,2.83,60,0
S201302638,4.0,4.25,20,0
S201302639,3.75,3.77,38,0
S201302640,2.83,2.96,51,6
S201302641,2.26,2.34,58,3
S201302642,3.17,3.36,42,8
S201302643,2.04,2.19,57,2
S201302644,3.28,3.59,23,4
S201302645,3.6,3.7,26,5
S201302646,3.08,3.36,32,0
S201302647,3.02,3.17,41,5
S201302648,3.76,3.74,40,3
S201302649,3.42,3.77,13,4
S201302650,3.09,3.41,22,6
S201302651,2.85,3.08,48,1
S201302652,2.79,3.05,42,1
S201302653,3.24,3.37,31,3
S201302654,3.5,3.56,35,2
S201302655,3.12,3.33,40,1
S201302656,2.92,2.93,47,0
S201302657,2.82,2.88,32,6
S201302658,3.03,3.03,32,2
S201302659,3.37,3.57,28,2
S201302660,3.39,3.64,39,0
S201302661,3.74,4.08,27,5
S201302662,3.36,3.42,44,4
S201302663,2.95,3.09,36,3
S201302664,3.17,3.51,42,4
S201302665,3.63,3.62,22,8
S201302666,2.87,3.12,37,2
S201302667,3.02,3.15,39,3
S201302668,3.95,4.18,28,3
S201302669,4.0,4.2,24,0
S201302670,3.01,3.14,32,3
S201302671,3.93,4.14,11,2
S201302672,3.62,3.83,22,4
S201302673,3.26,3.36,35,3
S201302674,2.46,2.51,57,3
S201302675,2.63,2.86,57,3
S201302676,2.87,2.89,52,4
S201302677,3.49,3.61,32,0
S201302678,3.76,3.78,11,0
S201302679,3.47,3.53,18,1
S201302680,3.31,3.46,44,4
S201302681,2.97,3.09,52,3
S201302682,3.33,3.34,29,5
S201302683,3.52,3.8,21,3
S201302684,3.02,3.21,53,3
S201302685,2.92,3.2,40,4
S201302686,3.19,3.36,37,0
S201302687,3.36,3.61,33,5
S201302688,2.85,3.12,37,0
S201302689,3.08,3.28,36,2
S201302690,3.22,3.49,47,5
S201302691,4.0,4.16,24,4
S201302692,3.07,3.17,34,5
S201302693,4.0,4.18,24,7
S201302694,3.16,3.29,34,0
S201302695,2.63,2.79,34,3
S201302696,2.96,3.3,34,5
S201302697,3.59,3.73,28,0
S201302698,3.37,3.41,34,5
S201302699,2.93,3.26,49,0
S201302700,2.78,2.94,34,3
S201302701,2.82,2.94,43,2
S201302702,3.03,3.08,24,6
S201302703,2.81,2.97,41,4
S201302704,3.18,3.3,48,4
S201302705,3.19,3.54,20,2
S201302706,3.9,4.05,7,2
S201302707,2.76,3.01,43,5
S201302708,2.41,2.43,43,6
S201302709,2.76,2.97,49,6
S201302710,3.41,3.47,34,6
S201302711,4.0,4.06,20,5
S201302712,2.71,2.8,52,4
S201302713,3.08,3.26,51,3
S201302714,2.57,2.8,39,2
S201302715,3.32,3.43,30,3
S201302716,3.66,3.76,26,5
S201302717,2.65,2.69,38,4
S201302718,3.54,3.76,26,2
S201302719,4.0,4.18,11,6
S201302720,3.37,3.36,40,2
S201302721,3.38,3.33,38,2
S201302722,3.0,3.01,37,7
S201302723,3.7,3.75,32,2
S201302724,2.4,2.58,58,0
S201302725,3.53,3.85,18,1
S201302726,3.9,4.06,18,7
S201302727,3.5,3.61,27,0
S201302728,3.77,3.82,21,5
S201302729,2.76,2.85,43,5
S201302730,4.0,4.11,33,2
S201302731,2.42,2.37,57,3
S201302732,2.89,3.14,26,0
S201302733,3.02,3.1,49,3
S201302734,3.94,4.1,30,3
S201302735,3.56,3.61,28,5
S201302736,3.06,3.05,43,3
S201302737,3.63,3.68,28,6
S201302738,3.1,3.19,27,1
S201302739,2.9,3.23,43,1
S201302740,3.09,3.33,44,0
S201302741,3.31,3.52,40,2
S201302742,3.05,3.22,45,2
S201302743,3.8,4.24,36,4
S201302744,3.17,3.41,35,4
S201302745,2.88,3.12,31,1
S201302746,3.46,3.52,34,7
S201302747,3.55,3.7,27,2
S201302748,3.38,3.55,32,3
S201302749,3.03,3.21,49,1
S201302750,2.59,2.78,43,4
S201302751,3.5,3.61,30,8
S201302752,3.69,4.02,38,8
S201302753,3.53,3.59,18,1
S201302754,4.0,4.16,19,1
S201302755,3.61,3.62,34,0
S201302756,2.96,3.18,36,3
S201302757,3.41,3.6,35,1
S201302758,2.97,3.27,27,4
S201302759,3.08,2.99,43,0
S201302760,2.69,2.82,53,1
S201302761,3.62,3.69,19,4
S201302762,3.17,3.09,34,6
S201302763,3.11,3.25,43,7
S201302764,2.76,2.77,47,2
S201302765,3.26,3.41,38,6
S201302766,3.25,3.5,42,6
S201302767,3.06,3.23,32,0
S201302768,3.0,3.1,43,3
S201302769,3.78,3.93,30,5
S201302770,2.55,2.76,62,5
S201302771,2.88,3.14,36,6
S201302772,3.72,3.73,23,5
S201302773,3.45,3.56,26,0
S201302774,3.7,3.99,22,0
S201302775,3.05,3.17,37,0
S201302776,3.61,3.84,26,4
S201302777,3.5,3.7,28,6
S201302778,3.48,3.78,22,0
S201302779,3.25,3.46,37,0
S201302780,3.74,3.96,34,0
S201302781,3.44,3.68,19,5
S201302782,3.31,3.47,21,2
S201302783,2.41,2.63,55,2
S201302784,3.47,3.73,31,0
S201302785,2.51,2.66,41,3
S201302786,2.9,3.07,35,3
S201302787,3.1,3.26,43,5
S201302788,3.07,3.22,38,2
S201302789,3.4,3.56,47,3
S201302790,3.71,3.75,34,1
S201302791,3.2,3.27,48,3
S201302792,2.94,3.18,28,3
S201302793,3.12,3.24,43,3
S201302794,3.05,3.19,37,7
S201302795,3.68,3.66,41,5
S201302796,2.87,3.12,45,4
S201302797,3.26,3.47,23,3
S201302798,4.0,4.01,21,0
S201302799,3.3,3.36,34,3
S201302800,3.37,3.63,24,4
S201302801,3.35,3.45,33,7
S201302802,3.33,3.47,27,5
S201302803,3.16,3.26,48,4
S201302804,2.84,3.09,43,4
S201302805,3.41,3.7,41,2
S201302806,3.54,3.65,38,2
S201302807,2.43,2.35,37,0
S201302808,3.08,3.19,34,7
S201302809,3.66,4.0,26,0
S201302810,3.52,3.77,29,1
S201302811,2.23,2.15,63,0
S201302812,3.98,4.12,26,3
S201302813,3.57,3.77,10,7
S201302814,3.57,3.87,26,2
S201302815,2.89,2.98,55,0
S201302816,2.81,2.93,49,7
S201302817,4.0,4.26,22,1
S201302818,4.0,4.01,11,2
S201302819,2.98,3.25,43,2
S201302820,3.67,3.82,25,6
S201302821,3.26,3.4,37,4
S201302822,3.06,3.11,42,5
S201302823,3.0,2.91,40,4
S201302824,2.86,3.0,37,0
S201302825,3.29,3.31,44,3
S201302826,3.63,3.85,12,1
S201302827,3.25,3.49,45,7
S201302828,2.26,2.39,66,7
S201302829,3.85,3.96,38,5
S201302830,3.78,4.03,23,1
S201302831,2.87,2.99,45,1
S201302832,3.57,3.7,23,1
S201302833,3.72,3.9,24,3
S201302834,2.74,2.98,45,4
S201302835,1.95,1.98,62,1
S201302836,2.82,2.94,31,2
S201302837,3.2,3.23,24,6
S201302838,3.39,3.47,25,3
S201302839,3.77,3.77,25,6
S201302840,2.76,2.89,40,1
S201302841,3.1,3.31,43,5
S201302842,2.38,2.47,52,0
S201302843,2.68,2.71,39,0
S201302844,2.49,2.68,63,3
S201302845,2.79,2.99,43,3
S201302846,3.62,3.73,29,1
S201302847,2.81,3.1,48,0
S201302848,3.32,3.37,44,3
S201302849,2.38,2.48,50,4
S201302850,2.63,2.68,52,0
S201302851,3.89,3.91,43,2
S201302852,2.65,2.77,41,7
S201302853,3.96,4.1,18,1
S201302854,3.14,3.27,32,2
S201302855,2.53,2.66,50,2
S201302856,3.83,3.84,15,3
S201302857,2.6,2.4,40,3
S201302858,3.6,3.8,13,6
S201302859,3.23,3.43,42,4
S201302860,2.25,2.33,63,4
S201302861,3.22,3.58,36,3
S201302862,3.07,3.22,35,7
S201302863,3.85,3.96,14,5
S201302864,3.0,3.01,52,0
S201302865,2.77,2.88,45,2
S201302866,4.0,4.21,12,1
S201302867,3.68,3.97,28,1
S201302868,3.35,3.53,24,1
S201302869,2.23,2.43,51,0
S201302870,3.26,3.54,36,2
S201302871,3.38,3.52,45,4
S201302872,3.5,3.58,26,0
S201302873,2.8,3.11,43,0
S201302874,3.0,3.22,35,8
S201302875,3.85,4.07,27,5
S201302876,3.27,3.48,34,6
S201302877,2.89,2.97,66,2
S201302878,2.55,2.85,42,0
S201302879,3.09,3.31,40,3
S201302880,3.52,3.79,27,5
S201302881,3.59,3.76,23,7
S201302882,3.79,3.97,34,8
S201302883,3.5,3.8,34,0
S201302884,3.32,3.56,34,7
S201302885,3.23,3.54,55,0
S201302886,3.74,3.77,21,5
S201302887,3.87,4.1,2,2
S201302888,3.47,3.49,44,4
S201302889,3.42,3.71,26,1
S201302890,3.26,3.4,30,1
S201302891,3.63,3.58,34,2
S201302892,3.04,3.1,50,0
S201302893,3.2,3.4,40,1
S201302894,4.0,4.23,27,0
S201302895,3.09,3.0,37,2
S201302896,4.0,4.13,23,4
S201302897,3.68,3.82,27,3
S201302898,3.95,3.98,10,3
S201302899,2.62,2.88,56,1
S201302900,1.97,2.24,56,7
S201302901,2.95,3.16,39,1
S201302902,3.16,3.36,48,3
S201302903,4.0,4.36,21,4
S201302904,3.91,3.94,22,5
S201302905,3.01,3.11,37,3
S201302906,3.72,3.77,37,2
S201302907,3.27,3.39,36,8
S201302908,2.44,2.5,50,0
S201302909,3.34,3.44,36,0
S201302910,2.61,2.56,55,3
S201302911,2.65,3.0,42,4
S201302912,3.14,3.39,39,4
S201302913,3.58,3.73,19,0
S201302914,2.96,3.18,28,2
S201302915,3.68,3.85,39,3
S201302916,3.37,3.5,46,0
S201302917,3.25,3.37,43,7
S201302918,3.8,3.88,21,4
S201302919,2.98,3.16,46,2
S201302920,3.82,4.12,24,3
S201302921,3.48,3.67,34,1
S201302922,3.83,3.91,24,3
S201302923,3.14,3.34,43,5
S201302924,3.05,3.13,32,2
S201302925,3.19,3.43,30,0
S201302926,3.79,3.95,28,3
S201302927,2.71,2.98,30,1
S201302928,2.25,2.45,60,2
S201302929,4.0,4.24,15,2
S201302930,2.7,2.87,51,3
S201302931,2.68,2.87,37,2
S201302932,3.08,3.13,30,5
S201302933,3.66,3.75,26,2
S201302934,3.25,3.63,13,6
S201302935,3.3,3.57,31,0
S201302936,3.28,3.29,39,5
S201302937,3.23,3.18,26,4
S201302938,3.97,4.05,30,1
S201302939,3.42,3.7,23,4
S201302940,4.0,4.11,19,1
S201302941,3.6,3.79,16,5
S201302942,3.3,3.52,26,5
S201302943,3.4,3.49,27,4
S201302944,3.35,3.61,29,4
S201302945,2.9,2.91,48,3
S201302946,3.45,3.58,31,0
S201302947,3.77,4.03,37,4
S201302948,2.93,3.09,40,6
S201400001,3.51,3.62,34,0
S201400002,3.3,3.45,32,5
S201400003,2.84,2.92,33,4
S201400004,3.7,3.95,24,6
S201400005,2.54,2.68,48,0
S201400006,2.41,2.59,55,7
S201400007,3.6,3.67,31,7
S201400008,3.64,3.7,22,4
S201400009,3.51,3.54,21,1
S201400010,4.0,4.17,12,2
S201400011,3.46,3.67,39,2
S201400012,3.98,4.07,9,0
S201400013,3.57,3.76,30,2
S201400014,2.7,2.86,51,2
S201400015,3.39,3.63,31,0
S201400016,3.67,3.87,31,2
S201400017,2.74,2.87,49,0
S201400018,2.67,2.84,40,0
S201400019,2.79,2.84,37,1
S201400020,2.93,3.04,38,8
S201400021,3.81,3.9,30,4
S201400022,3.19,3.18,31,7
S201400023,2.69,2.65,49,6
S201400024,3.57,3.77,15,0
S201400025,3.79,3.81,16,6
S201400026,3.16,3.22,27,0
S201400027,3.08,3.35,34,0
S201400028,3.54,3.69,41,0
S201400029,4.0,4.23,16,3
S201400030,3.16,3.35,35,4
S201400031,2.94,3.0,28,1
S201400032,3.56,3.81,33,4
S201400033,3.18,3.33,34,5
S201400034,3.54,3.54,28,4
S201400035,2.85,3.13,37,3
S201400036,3.72,3.7,21,6
S201400037,3.2,3.12,15,1
S201400038,3.29,3.48,30,3
S201400039,2.94,3.11,54,0
S201400040,4.0,4.16,20,1
S201400041,2.83,3.0,37,4
S201400042,3.42,3.37,32,6
