student_id,cate_hat,cate_se
S201302830,0.0927,0.0155
S201302833,0.0788,0.0136
S201302836,0.1766,0.0134
S201302839,0.0257,0.0154
S201302842,0.1472,0.0144
S201302845,0.0983,0.0104
S201302848,0.05,0.0128
S201302851,0.0326,0.0118
S201302854,0.0732,0.0149
S201302857,0.0704,0.0117
S201302860,0.1304,0.0151
S201302863,0.0814,0.0149
S201302866,0.1141,0.0118
S201302869,0.1524,0.0139
S201302872,0.1119,0.0153
S201302875,0.0337,0.0145
S201302878,0.1375,0.0123
S201302881,0.0375,0.0154
S201302884,0.0831,0.0155
S201302887,0.0777,0.011
S201302890,0.1173,0.0118
S201302893,0.185,0.013
S201302896,0.1045,0.0145
S201302899,0.1314,0.0109
S201302902,0.0501,0.0148
S201302905,0.1028,0.0152
S201302908,0.0688,0.0122
S201302911,0.1249,0.0111
S201302914,0.046,0.0114
S201302917,0.0904,0.0123
S201302920,0.0887,0.0128
S201302923,0.0404,0.0139
S201302926,0.0663,0.0153
S201302929,0.029,0.0154
S201302932,0.0462,0.0148
S201302935,0.04,0.0132
S201302938,0.1159,0.0136
S201302941,0.0388,0.0147
S201302944,0.0962,0.015
S201302947,0.0343,0.0114
S201400002,0.0545,0.0115
S201400005,0.1349,0.0101
S201400008,0.1065,0.0134
S201400011,0.1195,0.0146
S201400014,0.131,0.0113
S201400017,0.1187,0.0107
S201400020,0.1189,0.0114
S201400023,0.1219,0.0157
S201400026,0.0392,0.0134
S201400029,0.095,0.0142
S201400032,0.1113,0.012
S201400035,0.0466,0.0112
S201400038,0.1559,0.0138
S201400041,0.0655,0.0103
S201400044,0.0551,0.0123
S201400047,0.0465,0.0136
S201400050,0.054,0.0149
S201400053,0.0915,0.014
S201400056,0.1243,0.0136
S201400059,0.13,0.0105
S201400062,0.0641,0.0129
S201400065,0.1522,0.0146
S201400068,0.1298,0.0101
S201400071,0.0688,0.0119
S201400074,0.0431,0.0113
S201400077,0.0501,0.0124
S201400080,0.0364,0.0102
S201400083,0.0524,0.0159
S201400086,0.0494,0.0122
S201400089,0.046,0.0111
S201400092,0.1348,0.0151
S201400095,0.065,0.0147
S201400098,0.113,0.0101
S201400101,0.1858,0.0144
S201400104,0.0573,0.0119
S201400107,0.0177,0.0113
S201400110,0.0628,0.0107
S201400113,0.0517,0.0105
S201400116,0.0532,0.0146
S201400119,0.07,0.014
S201400122,0.0375,0.0136
S201400125,0.075,0.0142
S201400128,0.1437,0.0116
S201400131,0.0347,0.0107
S201400134,0.1431,0.0139
S201400137,0.0952,0.0122
S201400140,0.1106,0.0112
S201400143,0.1218,0.0135
S201400146,0.0326,0.0102
S201400149,0.051,0.0159
S201400152,0.1322,0.0144
S201400155,0.0548,0.0139
S201400158,0.0626,0.0137
S201400161,0.1093,0.0106
S201400164,0.0357,0.0101
S201400167,0.1017,0.0147
S201400170,0.1682,0.0145
S201400173,0.0989,0.0108
S201400176,0.0574,0.0141
S201400179,0.0301,0.013
S201400182,0.0487,0.0138
S201400185,0.056,0.0104
S201400188,0.1094,0.0151
S201400191,0.1425,0.015
S201400194,0.0651,0.0135
S201400197,0.1061,0.0144
S201400200,0.0729,0.013
S201400203,0.0844,0.014
S201400206,0.0663,0.0102
S201400209,0.076,0.0111
S201400212,0.1022,0.0143
S201400215,0.0725,0.0128
S201400218,0.0992,0.0131
S201400221,0.0466,0.0122
S201400224,0.1096,0.0138
S201400227,0.0359,0.0121
S201400230,0.0384,0.0142
S201400233,0.1749,0.0135
S201400236,0.1058,0.0145
S201400239,0.0208,0.0143
S201400242,0.0624,0.012
S201400245,0.0625,0.0123
S201400248,0.0931,0.0154
S201400251,0.103,0.015
S201400254,0.0549,0.0144
S201400257,0.1197,0.0109
S201400260,0.0283,0.0134
S201400263,0.126,0.0109
S201400266,0.0684,0.0121
S201400269,0.0193,0.0145
S201400272,0.0429,0.0122
S201400275,0.1304,0.0105
S201400278,0.0912,0.0146
S201400281,0.1663,0.0122
S201400284,0.0789,0.0118
S201400287,0.0555,0.0155
S201400290,0.0443,0.0152
S201400293,0.0891,0.0142
S201400296,0.1125,0.0132
S201400299,0.173,0.0122
S201400302,0.0228,0.0154
S201400305,0.0651,0.0146
S201400308,0.0577,0.0111
S201400311,0.0611,0.0134
S201400314,0.0701,0.0115
S201400317,0.093,0.0119
S201400320,0.1126,0.0101
S201400323,0.1238,0.0136
S201400326,0.0419,0.0118
S201400329,0.1084,0.016
S201400332,0.0778,0.011
S201400335,0.1245,0.0127
S201400338,0.0284,0.0129
S201400341,0.0438,0.0153
S201400344,0.0282,0.0104
S201400347,0.0413,0.0159
S201400350,0.0478,0.0114
S201400353,0.056,0.0142
S201400356,0.1015,0.0121
S201400359,0.1076,0.0118
S201400362,0.1621,0.0115
S201400365,0.128,0.01
S201400368,0.114,0.0147
S201400371,0.1416,0.0136
S201400374,0.054,0.014
S201400377,0.0272,0.0144
S201400380,0.1512,0.0158
S201400383,0.0812,0.0134
S201400386,0.0805,0.0116
S201400389,0.1587,0.0139
S201400392,0.1682,0.0117
S201400395,0.1868,0.0106
S201400398,0.0651,0.0107
S201400401,0.0545,0.0146
S201400404,0.0725,0.0123
S201400407,0.0647,0.0151
S201400410,0.1054,0.012
S201400413,0.1395,0.0141
S201400416,0.1461,0.0159
S201400419,0.0483,0.014
S201400422,0.1289,0.0104
S201400425,0.0397,0.0146
S201400428,0.0174,0.0116
S201400431,0.1664,0.0132
S201400434,0.1553,0.0145
S201400437,0.0347,0.0148
S201400440,0.0359,0.013
S201400443,0.0665,0.0147
S201400446,0.0431,0.0114
S201400449,0.1171,0.0141
S201400452,0.0583,0.0151
S201400455,0.1255,0.0157
S201400458,0.0712,0.0159
S201400461,0.0505,0.0144
S201400464,0.0277,0.0125
S201400467,0.098,0.0103
S201400470,0.0409,0.0106
S201400473,0.0343,0.0113
S201400476,0.0699,0.012
S201400479,0.0869,0.0156
S201400482,0.1465,0.0139
S201400485,0.0389,0.0149
S201400488,0.109,0.0105
S201400491,0.1741,0.011
S201400494,0.0454,0.0155
S201400497,0.0489,0.0125
S201400500,0.101,0.0146
S201400503,0.0558,0.011
S201400506,0.149,0.0157
S201400509,0.0456,0.015
S201400512,0.1626,0.0118
S201400515,0.071,0.0109
S201400518,0.0369,0.0104
S201400521,0.0493,0.0143
S201400524,0.1276,0.0142
S201400527,0.0465,0.015
S201400530,0.1081,0.0151
S201400533,0.1571,0.0156
S201400536,0.1143,0.0103
S201400539,0.0539,0.0123
S201400542,0.1004,0.0111
S201400545,0.1024,0.0146
S201400548,0.1553,0.0116
S201400551,0.1338,0.0146
S201400554,0.0489,0.0108
S201400557,0.1159,0.0159
S201400560,0.0457,0.0104
S201400563,0.1891,0.0123
S201400566,0.0728,0.0118
S201400569,0.1525,0.0101
S201400572,0.0426,0.0152
S201400575,0.0579,0.0141
S201400578,0.068,0.0112
S201400581,0.0942,0.0154
S201400584,0.0639,0.0127
S201400587,0.1053,0.0156
S201400590,0.082,0.0118
S201400593,0.104,0.0123
S201400596,0.1111,0.0128
S201400599,0.1271,0.0101
S201400602,0.0284,0.0142
S201400605,0.0456,0.0109
S201400608,0.0432,0.0136
S201400611,0.1258,0.0128
S201400614,0.0698,0.0136
S201400617,0.0353,0.0152
S201400620,0.0487,0.0125
S201400623,0.1017,0.0152
S201400626,0.1091,0.0151
S201400629,0.1556,0.0117
S201400632,0.0527,0.0152
S201400635,0.1289,0.0122
S201400638,0.0949,0.0127
S201400641,0.1273,0.0113
S201400644,0.0505,0.0116
S201400647,0.1663,0.0131
S201400650,0.1312,0.0147
S201400653,0.0505,0.0127
S201400656,0.0816,0.0108
S201400659,0.0421,0.0134
S201400662,0.0513,0.0154
S201400665,0.0261,0.0107
S201400668,0.1708,0.0133
S201400671,0.0878,0.011
S201400674,0.0877,0.0142
S201400677,0.0266,0.0148
S201400680,0.1067,0.015
S201400683,0.0699,0.014
S201400686,0.1054,0.0124
S201400689,0.1565,0.0153
S201400692,0.1433,0.0123
S201400695,0.0264,0.011
S201400698,0.0507,0.0153
S201400701,0.1234,0.0145
S201400704,0.0359,0.0102
S201400707,0.1229,0.0129
S201400710,0.0487,0.0102
S201400713,0.1105,0.012
S201400716,0.062,0.0112
S201400719,0.1863,0.0124
S201400722,0.0935,0.014
S201400725,0.0437,0.0104
S201400728,0.1072,0.0156
S201400731,0.0492,0.0155
S201400734,0.1342,0.0136
S201400737,0.087,0.0121
S201400740,0.1859,0.0113
S201400743,0.0636,0.013
S201400746,0.0363,0.0124
S201400749,0.0465,0.0138
S201400752,0.0757,0.0137
S201400755,0.13,0.0137
S201400758,0.0942,0.0123
S201400761,0.0517,0.0157
S201400764,0.1097,0.0101
S201400767,0.0819,0.0152
S201400770,0.0299,0.0149
S201400773,0.1754,0.0154
S201400776,0.1833,0.0127
S201400779,0.0371,0.0113
S201400782,0.069,0.0116
S201400785,0.0642,0.0148
S201400788,0.0373,0.0159
S201400791,0.0533,0.0145
S201400794,0.1046,0.0107
S201400797,0.1244,0.0157
S201400800,0.1036,0.0155
S201400803,0.1008,0.0153
S201400806,0.1814,0.0138
S201400809,0.0741,0.0142
S201400812,0.0652,0.0132
S201400815,0.13,0.01
S201400818,0.0505,0.015
S201400821,0.0395,0.0104
S201400824,0.111,0.0131
S201400827,0.171,0.0153
S201400830,0.028,0.0158
S201400833,0.0361,0.0127
S201400836,0.117,0.0157
S201400839,0.1173,0.0137
S201400842,0.045,0.0149
S201400845,0.12,0.0125
S201400848,0.0567,0.0152
S201400851,0.1195,0.0138
S201400854,0.157,0.0111
S201400857,0.0416,0.0146
S201400860,0.138,0.016
S201400863,0.1117,0.0111
S201400866,0.1525,0.0117
S201400869,0.0434,0.0128
S201400872,0.1138,0.0155
S201400875,0.1179,0.0125
S201400878,0.0454,0.0152
S201400881,0.0328,0.0133
S201400884,0.0629,0.013
S201400887,0.0392,0.0116
S201400890,0.0858,0.0123
S201400893,0.1235,0.0124
S201400896,0.0647,0.0106
S201400899,0.1669,0.014
S201400902,0.1531,0.0127
S201400905,0.1268,0.0138
S201400908,0.0316,0.0146
S201400911,0.0611,0.0104
S201400914,0.1118,0.0157
S201400917,0.0588,0.0157
S201400920,0.0508,0.0104
S201400923,0.0898,0.0125
S201400926,0.0415,0.0156
S201400929,0.0506,0.0158
S201400932,0.1174,0.0115
S201400935,0.0672,0.0131
S201400938,0.0641,0.0153
S201400941,0.0558,0.0103
S201400944,0.1224,0.0136
S201400947,0.1457,0.0129
S201400950,0.0616,0.0139
S201400953,0.1712,0.0115
S201400956,0.1235,0.012
S201400959,0.1725,0.013
S201400962,0.0644,0.01
S201400965,0.1174,0.0119
S201400968,0.0412,0.0127
S201400971,0.1072,0.0128
S201400974,0.1231,0.0116
S201400977,0.1113,0.0102
S201400980,0.1172,0.0129
S201400983,0.1196,0.012
S201400986,0.0901,0.0131
S201400989,0.0561,0.012
S201400992,0.0387,0.0102
S201400995,0.0594,0.0119
S201400998,0.0286,0.0136
S201401001,0.186,0.0136
S201401004,0.063,0.0124
S201401007,0.0553,0.0101
S201401010,0.0671,0.0128
S201401013,0.0312,0.0153
S201401016,0.0252,0.0149
S201401019,0.0881,0.0111
S201401022,0.0647,0.0135
S201401025,0.0612,0.0158
S201401028,0.1618,0.0121
S201401031,0.0315,0.0107
S201401034,0.1344,0.0104
S201401037,0.1442,0.0107
S201401040,0.163,0.0119
S201401043,0.1098,0.0105
S201401046,0.0836,0.0139
S201401049,0.0504,0.0143
S201401052,0.0689,0.014
S201401055,0.0467,0.0144
S201401058,0.0863,0.0113
S201401061,0.1067,0.0112
S201401064,0.0665,0.0116
S201401067,0.1504,0.015
S201401070,0.0546,0.0127
S201401073,0.166,0.0148
S201401076,0.1088,0.0126
S201401079,0.0886,0.0142
S201401082,0.0889,0.014
S201401085,0.102,0.0133
S201401088,0.0658,0.0151
S201401091,0.0403,0.0128
S201401094,0.1137,0.0103
S201401097,0.0885,0.0143
S201401100,0.1148,0.0122
S201401103,0.0868,0.0155
S201401106,0.0567,0.015
S201401109,0.1201,0.012
S201401112,0.1162,0.0113
S201401115,0.0884,0.011
S201401118,0.0405,0.0158
S201401121,0.0484,0.0103
S201401124,0.1186,0.0156
S201401127,0.1947,0.0141
S201401130,0.0655,0.0112
S201401133,0.0713,0.0141
S201401136,0.0576,0.0152
S201401139,0.0396,0.0114
S201401142,0.0347,0.0139
S201401145,0.0758,0.0119
S201401148,0.135,0.0128
S201401151,0.0826,0.0132
S201401154,0.0435,0.0138
S201401157,0.0326,0.0129
S201401160,0.1169,0.0129
S201401163,0.1168,0.0111
S201401166,0.042,0.0152
S201401169,0.0911,0.0151
S201401172,0.099,0.0135
S201401175,0.0705,0.0145
S201401178,0.055,0.0117
S201401181,0.0263,0.0129
S201401184,0.0686,0.0104
S201401187,0.0253,0.0137
S201401190,0.0176,0.0106
S201401193,0.0461,0.0137
S201401196,0.0457,0.0126
S201401199,0.0364,0.0155
S201401202,0.1585,0.0147
S201401205,0.1209,0.0109
S201401208,0.082,0.0157
S201401211,0.1747,0.0131
S201401214,0.0496,0.0124
S201401217,0.0632,0.0116
S201401220,0.0262,0.0106
S201401223,0.0475,0.0127
S201401226,0.1697,0.0138
S201401229,0.0613,0.012
S201401232,0.091,0.0123
S201401235,0.0894,0.0148
S201401238,0.1766,0.0127
S201401241,0.0574,0.0107
S201401244,0.1283,0.0106
S201401247,0.0713,0.0137
S201401250,0.1033,0.016
S201401253,0.0419,0.0109
S201401256,0.1369,0.0126
S201401259,0.1098,0.0146
S201401262,0.1011,0.0134
S201401265,0.0518,0.0135
S201401268,0.0643,0.0156
S201401271,0.1603,0.0159
S201401274,0.0933,0.0106
S201401277,0.0333,0.0147
S201401280,0.0482,0.0136
S201401283,0.0361,0.0112
S201401286,0.1168,0.0104
S201401289,0.0487,0.0114
S201401292,0.1099,0.0119
S201401295,0.0419,0.0148
S201401298,0.1752,0.0103
S201401301,0.0783,0.0137
S201401304,0.092,0.0115
S201401307,0.1607,0.013
S201401310,0.0989,0.0134
S201401313,0.1318,0.0102
S201401316,0.0605,0.0118
S201401319,0.0938,0.0103
S201401322,0.0846,0.0112
S201401325,0.0474,0.0149
S201401328,0.1121,0.0152
S201401331,0.1154,0.0113
S201401334,0.0688,0.0118
S201401337,0.0823,0.0104
S201401340,0.0902,0.013
S201401343,0.0508,0.015
S201401346,0.0935,0.0103
S201401349,0.0563,0.0123
S201401352,0.0147,0.0141
S201401355,0.0549,0.0122
S201401358,0.0423,0.0106
S201401361,0.0709,0.014
S201401364,0.0881,0.0143
S201401367,0.1092,0.0109
S201401370,0.0602,0.0103
S201401373,0.114,0.0126
S201401376,0.1079,0.0112
S201401379,0.0919,0.0159
S201401382,0.1447,0.0154
S201401385,0.0409,0.0135
S201401388,0.0576,0.0136
S201401391,0.0747,0.0122
S201401394,0.0478,0.0104
S201401397,0.096,0.0146
S201401400,0.0449,0.011
S201401403,0.1297,0.0102
S201401406,0.1793,0.0139
S201401409,0.0469,0.0125
S201401412,0.0254,0.01
S201401415,0.0451,0.0131
S201401418,0.0678,0.0124
S201401421,0.1648,0.0103
S201401424,0.1478,0.0141
S201401427,0.185,0.0144
S201401430,0.0301,0.0141
S201401433,0.0275,0.0159
S201401436,0.0904,0.016
S201401439,0.0973,0.0112
S201401442,0.1393,0.0131
S201401445,0.1058,0.0143
S201401448,0.1091,0.0149
S201401451,0.0532,0.0152
S201401454,0.0926,0.01
S201401457,0.1573,0.0107
S201401460,0.0517,0.0105
S201401463,0.0448,0.0111
S201401466,0.1512,0.0139
S201401469,0.0679,0.0113
S201401472,0.1185,0.0102
S201401475,0.1161,0.012
S201401478,0.0363,0.0122
S201401481,0.0495,0.0134
S201401484,0.0669,0.0142
S201401487,0.0617,0.0118
S201401490,0.0361,0.0132
S201401493,0.0297,0.0126
S201401496,0.1384,0.0112
S201401499,0.0456,0.0143
S201401502,0.0541,0.0155
S201401505,0.1764,0.0155
S201401508,0.0887,0.0141
S201401511,0.1144,0.0136
S201401514,0.0294,0.0104
S201401517,0.0676,0.0114
S201401520,0.1898,0.0123
S201401523,0.0692,0.0138
S201401526,0.051,0.011
S201401529,0.0497,0.0153
S201401532,0.0732,0.0157
S201401535,0.0552,0.0123
S201401538,0.0406,0.0127
S201401541,0.14,0.0125
S201401544,0.158,0.0117
S201401547,0.0511,0.0126
S201401550,0.1006,0.0127
S201401553,0.1012,0.0147
S201401556,0.0263,0.0124
S201401559,0.1084,0.012
S201401562,0.1578,0.0143
S201401565,0.0595,0.0123
S201401568,0.0555,0.0132
S201401571,0.083,0.0159
S201401574,0.034,0.0133
S201401577,0.0867,0.0126
S201401580,0.1668,0.0116
S201401583,0.1047,0.0157
S201401586,0.0639,0.0117
S201401589,0.0409,0.0124
S201401592,0.0482,0.0133
S201401595,0.0426,0.0107
S201401598,0.1041,0.0141
S201401601,0.0724,0.0108
S201401604,0.0444,0.0148
S201401607,0.1885,0.0129
S201401610,0.2036,0.0119
S201401613,0.0382,0.015
S201401616,0.0528,0.0129
S201401619,0.0827,0.0154
S201401622,0.0501,0.0125
S201401625,0.0439,0.0121
S201401628,0.1471,0.0114
S201401631,0.057,0.0145
S201401634,0.115,0.0129
S201401637,0.1599,0.0138
S201401640,0.0319,0.0119
S201401643,0.0348,0.0111
S201401646,0.0258,0.01
S201401649,0.0255,0.0106
S201401652,0.1591,0.0123
S201401655,0.0635,0.0142
S201401658,0.0949,0.0144
S201401661,0.066,0.0133
S201401664,0.0988,0.01
S201401667,0.046,0.0116
S201401670,0.0345,0.0153
S201401673,0.1336,0.0106
S201401676,0.1209,0.0132
S201401679,0.098,0.0121
S201401682,0.1368,0.0117
S201401685,0.0523,0.0148
S201401688,0.1043,0.0155
S201401691,0.0539,0.0113
S201401694,0.0999,0.0131
S201401697,0.0595,0.0134
S201401700,0.0977,0.0136
S201401703,0.0611,0.0102
S201401706,0.0938,0.0101
S201401709,0.0957,0.0139
S201401712,0.0555,0.0105
S201401715,0.1178,0.0122
S201401718,0.0452,0.0137
S201401721,0.098,0.0125
S201401724,0.056,0.0115
S201401727,0.0284,0.0152
S201401730,0.1173,0.0123
S201401733,0.1552,0.012
S201401736,0.0508,0.0155
S201401739,0.0565,0.0114
S201401742,0.1571,0.0117
S201401745,0.1161,0.0153
S201401748,0.0886,0.016
S201401751,0.0764,0.0151
S201401754,0.1283,0.0113
S201401757,0.0445,0.015
S201401760,0.0937,0.0112
S201401763,0.1146,0.0108
S201401766,0.0499,0.013
S201401769,0.1,0.0103
S201401772,0.0245,0.0107
S201401775,0.1,0.0111
S201401778,0.0432,0.0122
S201401781,0.1145,0.014
S201401784,0.0434,0.0148
S201401787,0.0333,0.0123
S201401790,0.0397,0.0118
S201401793,0.1248,0.0148
S201401796,0.0783,0.0152
S201401799,0.1599,0.0141
S201401802,0.1125,0.0114
S201401805,0.0345,0.0155
S201401808,0.0602,0.0154
S201401811,0.1318,0.0148
S201401814,0.1282,0.0146
S201401817,0.0743,0.0139
S201401820,0.114,0.0158
S201401823,0.0904,0.011
S201401826,0.056,0.0149
S201401829,0.02,0.0134
S201401832,0.072,0.0137
S201401835,0.1133,0.0143
S201401838,0.1967,0.0133
S201401841,0.1237,0.0101
S201401844,0.0463,0.0122
S201401847,0.1002,0.0114
S201401850,0.0539,0.0158
S201401853,0.1283,0.0139
S201401856,0.1146,0.014
S201401859,0.0582,0.01
S201401862,0.0549,0.011
S201401865,0.0636,0.0131
S201401868,0.0299,0.0145
S201401871,0.0895,0.0157
S201401874,0.0922,0.0151
S201401877,0.0621,0.0104
S201401880,0.1236,0.0138
S201401883,0.185,0.0126
S201401886,0.1349,0.0111
S201401889,0.1765,0.0115
S201401892,0.0554,0.0111
S201401895,0.0673,0.0152
S201401898,0.0914,0.0146
S201401901,0.1487,0.0128
S201401904,0.0911,0.015
S201401907,0.0362,0.0154
S201401910,0.1353,0.01
S201401913,0.0459,0.0118
S201401916,0.1602,0.0129
S201401919,0.1797,0.0154
S201401922,0.107,0.0121
S201401925,0.1149,0.0139
S201401928,0.109,0.0124
S201401931,0.052,0.01
S201401934,0.0733,0.0144
S201401937,0.1065,0.0132
S201401940,0.1147,0.0149
S201401943,0.1177,0.0118
S201401946,0.1125,0.0136
S201401949,0.1906,0.0129
S201401952,0.0894,0.0119
S201401955,0.0343,0.0159
S201401958,0.1605,0.015
S201401961,0.0243,0.0124
S201401964,0.0577,0.0153
S201401967,0.0519,0.0113
S201401970,0.0942,0.0125
S201401973,0.1468,0.0129
S201401976,0.0567,0.0119
S201401979,0.0268,0.0122
S201401982,0.0546,0.0151
S201401985,0.1307,0.0144
S201401988,0.0656,0.0144
S201401991,0.0983,0.0108
S201401994,0.1217,0.0157
S201401997,0.1689,0.0139
S201402000,0.0328,0.011
S201402003,0.0987,0.0149
S201402006,0.0271,0.0107
S201402009,0.1276,0.0138
S201402012,0.1033,0.0158
S201402015,0.1138,0.0155
S201402018,0.0445,0.0145
S201402021,0.0883,0.0102
S201402024,0.0259,0.0111
S201402027,0.0349,0.0114
S201402030,0.0453,0.012
S201402033,0.1382,0.0141
S201402036,0.0761,0.0152
S201402039,0.0743,0.0141
S201402042,0.0636,0.0106
S201402045,0.0254,0.0154
S201402048,0.1561,0.0131
S201402051,0.0927,0.0144
S201402054,0.0856,0.0122
S201402057,0.0329,0.0122
S201402060,0.1075,0.0148
S201402063,0.1277,0.015
S201402066,0.0623,0.0159
S201402069,0.1608,0.0123
S201402072,0.0367,0.0102
S201402075,0.0773,0.0128
S201402078,0.1601,0.0153
S201402081,0.1675,0.0131
S201402084,0.0405,0.0106
S201402087,0.1169,0.0131
S201402090,0.1,0.0152
S201402093,0.1585,0.0151
S201402096,0.1142,0.0132
S201402099,0.0379,0.0109
S201402102,0.0683,0.0157
S201402105,0.0624,0.01
S201402108,0.0367,0.014
S201402111,0.0379,0.0112
S201402114,0.0744,0.0149
S201402117,0.029,0.0104
S201402120,0.0338,0.0139
S201402123,0.0631,0.0145
S201402126,0.0926,0.01
S201402129,0.0406,0.0153
S201402132,0.1052,0.0146
S201402135,0.1076,0.0115
S201402138,0.0698,0.0125
S201402141,0.1113,0.0142
S201402144,0.0613,0.0142
S201402147,0.1115,0.0131
S201402150,0.1815,0.0124
S201402153,0.1262,0.0155
S201402156,0.1443,0.0143
S201402159,0.0721,0.0103
S201402162,0.0867,0.0157
S201402165,0.0891,0.0138
S201402168,0.0425,0.0124
S201402171,0.088,0.0122
S201402174,0.0486,0.0155
S201402177,0.133,0.0141
S201402180,0.0586,0.011
S201402183,0.125,0.0129
S201402186,0.0533,0.0146
S201402189,0.0532,0.0103
S201402192,0.1053,0.0133
S201402195,0.0661,0.0121
S201402198,0.0405,0.0133
S201402201,0.102,0.0115
S201402204,0.0453,0.0113
S201402207,0.1276,0.0136
S201402210,0.079,0.0118
S201402213,0.1179,0.0109
S201402216,0.1479,0.0146
S201402219,0.0418,0.0132
S201402222,0.0564,0.0106
S201402225,0.0491,0.0116
S201402228,0.0468,0.0159
S201402231,0.0446,0.0121
S201402234,0.0594,0.0124
S201402237,0.0645,0.0152
S201402240,0.0431,0.0125
S201402243,0.1159,0.0158
S201402246,0.1488,0.0125
S201402249,0.069,0.0151
S201402252,0.1097,0.0158
S201402255,0.149,0.0139
S201402258,0.1284,0.0113
S201402261,0.0513,0.0157
S201402264,0.1626,0.0155
S201402267,0.1252,0.012
S201402270,0.0721,0.0159
S201402273,0.0961,0.0152
S201402276,0.0486,0.0157
S201402279,0.0483,0.0116
S201402282,0.0468,0.011
S201402285,0.0466,0.0102
S201402288,0.1548,0.0136
S201402291,0.0411,0.0101
S201402294,0.0718,0.0107
S201402297,0.0545,0.0102
S201402300,0.1674,0.0124
S201402303,0.1268,0.0119
S201402306,0.1101,0.012
S201402309,0.1257,0.0116
S201402312,0.0602,0.0105
S201402315,0.0891,0.0125
S201402318,0.1741,0.015
S201402321,0.1477,0.0125
S201402324,0.104,0.015
S201402327,0.1424,0.015
S201402330,0.1219,0.0116
S201402333,0.0634,0.0147
S201402336,0.1501,0.0114
S201402339,0.1086,0.0137
S201402342,0.0486,0.0153
S201402345,0.0439,0.0126
S201402348,0.0924,0.014
S201402351,0.0596,0.0141
S201402354,0.0499,0.0142
S201402357,0.0428,0.0115
S201402360,0.0449,0.0156
S201402363,0.1171,0.0136
S201402366,0.1115,0.0107
S201402369,0.0392,0.0123
S201402372,0.0501,0.0105
S201402375,0.1321,0.0148
S201402378,0.0479,0.0119
S201402381,0.0373,0.0133
S201402384,0.0148,0.0125
S201402387,0.133,0.0123
S201402390,0.0467,0.0146
S201402393,0.0355,0.0153
S201402396,0.0913,0.0112
S201402399,0.0512,0.0158
S201402402,0.0657,0.0137
S201402405,0.0405,0.0159
S201402408,0.1115,0.0134
S201402411,0.1063,0.0149
S201402414,0.0633,0.0123
S201402417,0.0608,0.0159
S201402420,0.0827,0.0117
S201402423,0.0378,0.0148
S201402426,0.0469,0.0134
S201402429,0.0401,0.014
S201402432,0.1195,0.0135
S201402435,0.1339,0.0153
S201402438,0.0412,0.0129
S201402441,0.0775,0.0142
S201402444,0.0954,0.0158
S201402447,0.1722,0.0107
S201402450,0.0487,0.015
S201402453,0.1044,0.0116
S201402456,0.0611,0.0122
S201402459,0.0589,0.0147
S201402462,0.1553,0.0125
S201402465,0.1472,0.0108
S201402468,0.0312,0.0135
S201402471,0.1046,0.014
S201402474,0.1315,0.0135
S201402477,0.0784,0.0158
S201402480,0.0813,0.0121
S201402483,0.1086,0.0137
S201402486,0.0893,0.0126
S201402489,0.1113,0.0127
S201402492,0.1231,0.0125
S201402495,0.047,0.0118
S201402498,0.1133,0.0131
S201402501,0.0384,0.0143
S201402504,0.0721,0.0139
S201402507,0.0515,0.0156
S201402510,0.0769,0.0148
S201402513,0.0614,0.0124
S201402516,0.0884,0.0139
S201402519,0.087,0.0153
S201402522,0.028,0.013
S201402525,0.1232,0.0105
S201402528,0.0238,0.016
S201402531,0.1448,0.0107
S201402534,0.0506,0.0121
S201402537,0.1582,0.0126
S201402540,0.0742,0.0131
S201402543,0.0216,0.0107
S201402546,0.0986,0.0157
S201402549,0.0407,0.0157
S201402552,0.0725,0.0138
S201402555,0.1467,0.0105
S201402558,0.1134,0.0127
S201402561,0.0397,0.0118
S201402564,0.0458,0.0119
S201402567,0.0987,0.0119
S201402570,0.0695,0.0129
S201402573,0.0567,0.0103
S201402576,0.0119,0.0126
S201402579,0.0723,0.01
S201402582,0.0282,0.0106
S201402585,0.1031,0.0125
S201402588,0.1314,0.0142
S201402591,0.1182,0.0122
S201402594,0.1164,0.0127
S201402597,0.0518,0.0105
S201402600,0.1486,0.0129
S201402603,0.0527,0.0142
S201402606,0.0294,0.0143
S201402609,0.1097,0.0129
S201402612,0.1148,0.0112
S201402615,0.1092,0.0135
S201402618,0.1565,0.0146
S201402621,0.0403,0.011
S201402624,0.0432,0.0101
S201402627,0.0861,0.0116
S201402630,0.0905,0.013
S201402633,0.0598,0.0126
S201402636,0.0616,0.0157
S201402639,0.0442,0.0114
S201402642,0.0614,0.0125
S201402645,0.109,0.013
S201402648,0.0732,0.0155
S201402651,0.1076,0.0149
S201402654,0.1259,0.0153
S201402657,0.055,0.011
S201402660,0.0805,0.0115
S201402663,0.1179,0.0142
S201402666,0.0529,0.014
S201402669,0.0554,0.0104
S201402672,0.0628,0.0112
S201402675,0.0773,0.0125
S201402678,0.1343,0.0112
S201402681,0.0657,0.0124
S201402684,0.0613,0.0128
S201402687,0.0924,0.0146
S201402690,0.1483,0.0121
S201402693,0.0348,0.0118
S201402696,0.0336,0.0122
S201402699,0.039,0.0128
S201402702,0.1169,0.0152
S201402705,0.0559,0.0106
S201402708,0.1024,0.0115
S201402711,0.13,0.0129
S201402714,0.1191,0.0109
