onet_soc_code,isco08_4digit,education_required_level,vertical_match_weight,horizontal_match_weight,automation_risk_frey
22-4329.70,5758,7,0.8062,0.5458,0.4327
21-9306.57,1726,6,0.7637,0.417,0.4827
49-6006.76,8803,6,0.798,0.7016,0.3419
11-6245.48,3497,6,0.7545,0.4918,0.0876
36-7428.59,7879,6,0.6844,0.3258,0.4098
32-7291.20,6227,7,0.585,0.5528,0.3208
23-5759.72,3273,4,0.63,0.4271,0.8142
37-3540.83,7228,6,0.3619,0.3027,0.3016
22-3190.35,7263,6,0.6232,0.3902,0.454
41-3258.76,9160,8,0.6489,0.5273,0.3734
32-9557.26,2426,5,0.8225,0.755,0.2124
49-8874.44,3924,7,0.5846,0.2545,0.4787
23-2180.10,8663,7,0.6429,0.3445,0.6465
51-5093.62,4407,6,0.822,0.6193,0.5141
32-2524.18,8635,8,0.7338,0.4304,0.2502
34-6387.40,4946,6,0.655,0.3092,0.1144
54-7330.76,3308,7,0.7571,0.5896,0.0366
39-6658.01,3273,5,0.8035,0.6095,0.6053
13-2994.48,3637,6,0.4906,0.4634,0.4143
42-8443.52,6311,4,0.727,0.4878,0.1748
16-3971.17,9650,5,0.4917,0.2492,0.464
19-4948.31,4386,8,0.866,0.4661,0.34
54-8399.40,8663,7,0.7992,0.6651,0.3759
32-1784.86,1110,7,0.5285,0.716,0.2601
36-1927.12,5093,7,0.4474,0.2617,0.3196
49-4543.37,5373,7,0.8342,0.5,0.1881
18-8402.51,4680,8,0.8988,0.4778,0.3674
21-9501.62,2146,7,0.3226,0.6082,0.5456
38-2560.49,5569,6,0.3936,0.6352,0.5474
12-4825.29,5765,5,0.9422,0.3618,0.7913
26-5952.98,4274,4,0.2631,0.521,0.2451
28-9756.97,2258,8,0.8678,0.5665,0.2326
54-7439.90,5625,7,0.7951,0.5065,0.6758
42-8953.40,2979,6,0.1838,0.7673,0.1786
51-7657.44,4337,5,0.4247,0.3604,0.2717
27-4466.86,3623,6,0.7059,0.6235,0.5358
12-6708.15,8579,8,0.5708,0.3372,0.585
22-1262.31,8418,6,0.6374,0.2854,0.2019
40-3675.17,8670,5,0.7562,0.4159,0.6291
46-6704.58,8152,6,0.5792,0.4423,0.3393
29-5577.37,4309,7,0.6191,0.3824,0.7132
28-4989.83,4169,6,0.5886,0.6948,0.915
28-4632.45,2594,6,0.6449,0.5333,0.3104
54-4226.24,7452,7,0.6819,0.7219,0.4821
29-6173.92,3280,5,0.8777,0.4929,0.6732
13-5340.60,3700,7,0.6519,0.3137,0.5034
30-1830.61,8992,5,0.5219,0.2442,0.2421
38-8521.96,2272,8,0.5587,0.5278,0.3626
24-8805.25,4561,7,0.7062,0.5988,0.7937
23-7168.85,2496,5,0.5595,0.4916,0.3382
31-8094.38,1929,4,0.5704,0.5426,0.3751
48-9625.44,1915,6,0.6431,0.7125,0.4884
14-4208.49,5023,6,0.6891,0.5259,0.2662
11-4956.11,9566,6,0.6853,0.5533,0.5817
26-8223.22,6598,6,0.706,0.3838,0.1379
34-8270.39,4960,8,0.6695,0.5441,0.5212
53-8702.52,8572,7,0.5593,0.4468,0.1628
19-7933.57,3147,4,0.7593,0.6458,0.3141
47-9192.42,5758,6,0.3706,0.6628,0.642
33-9783.05,9202,5,0.8642,0.4703,0.1551
20-7687.16,5996,7,0.5887,0.2953,0.6393
52-2897.50,7893,7,0.636,0.3476,0.5258
18-9311.16,3553,5,0.6017,0.1847,0.0969
16-3523.47,1390,4,0.582,0.4657,0.3909
37-5028.22,2776,7,0.7569,0.5097,0.188
48-8641.45,8824,7,0.7186,0.6519,0.5414
50-1303.81,9174,6,0.6467,0.5577,0.2817
47-8804.47,5065,6,0.7279,0.4033,0.4151
24-1741.43,8922,6,0.4707,0.4219,0.81
52-9309.67,5149,5,0.7446,0.426,0.2052
11-3883.70,8642,6,0.6585,0.4952,0.2959
34-1037.65,9132,6,0.7096,0.4889,0.5207
42-8340.49,6157,6,0.7853,0.5038,0.3405
37-8447.25,3777,6,0.6219,0.3506,0.203
44-5141.67,7228,5,0.5187,0.3173,0.2851
29-2396.18,7844,5,0.6507,0.35,0.191
19-5954.47,7830,7,0.6507,0.492,0.2511
17-5055.02,7312,8,0.5339,0.3653,0.7604
48-7091.30,2370,6,0.661,0.9081,0.7061
16-3290.97,5842,7,0.9323,0.3704,0.534
50-9879.28,7025,5,0.4359,0.5872,0.7119
11-8579.89,3826,8,0.6311,0.5896,0.5396
37-1673.62,1390,7,0.9141,0.173,0.6381
14-2484.94,2482,6,0.6141,0.5086,0.4712
39-8172.09,7683,7,0.7888,0.3192,0.2855
44-4617.36,7928,4,0.8761,0.5948,0.5448
50-8994.83,4855,7,0.3726,0.3457,0.111
53-3680.43,7445,5,0.4877,0.3656,0.221
17-7146.98,4421,8,0.8723,0.6744,0.4863
12-4345.03,5037,6,0.6122,0.7052,0.5373
14-8491.81,6654,7,0.5884,0.541,0.2108
13-2647.83,3371,7,0.6547,0.5846,0.4631
33-8213.46,7424,6,0.7546,0.6237,0.3195
37-2399.14,4372,7,0.678,0.5546,0.7719
27-1541.16,4337,7,0.5809,0.4835,0.649
12-5452.23,6514,7,0.9257,0.6755,0.267
18-3170.09,4631,8,0.4747,0.4289,0.2254
53-1336.61,2944,6,0.7707,0.8799,0.6161
27-5471.06,4750,7,0.7289,0.5556,0.2684
14-6192.54,8425,6,0.5189,0.5258,0.3317
25-9563.30,5940,7,0.5152,0.6005,0.545
35-5439.31,4491,6,0.6821,0.8433,0.2929
19-9118.90,9223,4,0.6701,0.4589,0.1634
42-2366.13,2027,6,0.8383,0.3019,0.1104
32-2805.70,5548,7,0.2852,0.6102,0.4996
17-4364.02,8516,5,0.5351,0.5919,0.7804
42-4941.03,4169,4,0.7602,0.658,0.0451
27-8395.16,1908,8,0.579,0.8087,0.4793
34-3202.45,2615,6,0.3336,0.5747,0.3005
20-4434.13,8621,7,0.8973,0.4154,0.5295
28-7501.57,2370,7,0.8649,0.2776,0.7592
40-7112.10,4827,6,0.5689,0.6934,0.2863
42-9651.57,8138,7,0.4612,0.8197,0.6366
28-9985.63,7067,6,0.658,0.4749,0.4732
33-8981.84,7074,7,0.8309,0.5478,0.4865
43-5178.85,5905,5,0.4396,0.5617,0.1972
48-8574.74,3007,5,0.4466,0.4111,0.2365
12-1883.25,9174,4,0.776,0.5488,0.736
39-7378.40,5765,6,0.3659,0.6733,0.4827
28-1221.85,8922,6,0.6714,0.4722,0.6308
19-6447.75,8432,5,0.2775,0.2907,0.3049
17-1885.27,5478,6,0.4639,0.4053,0.1511
45-2341.01,7879,5,0.8597,0.7675,0.5227
45-7672.78,4687,5,0.7095,0.7022,0.6606
50-6302.15,6619,7,0.5967,0.4458,0.7517
28-4695.70,7557,7,0.6721,0.5722,0.1346
39-9501.67,1299,5,0.6871,0.2637,0.914
30-8201.05,5933,7,0.6378,0.5951,0.6887
24-1035.59,4092,7,0.8059,0.7959,0.3114
13-6554.06,4491,4,0.5213,0.2465,0.6445
14-1333.48,9013,7,0.5097,0.5694,0.4156
37-4824.26,6332,6,0.7758,0.5978,0.3719
38-8214.28,7347,6,0.6592,0.3612,0.2406
19-6355.44,6794,8,0.7885,0.6052,0.1196
30-5790.78,3357,7,0.6539,0.4445,0.4377
13-1296.27,7193,6,0.5247,0.4158,0.2965
42-2404.58,1446,7,0.6419,0.5771,0.4029
20-2152.58,4708,4,0.3946,0.2833,0.6719
46-8134.45,5338,5,0.5404,0.4515,0.4873
15-1199.06,6248,7,0.7744,0.4662,0.4816
14-3064.98,1215,6,0.7723,0.849,0.1956
44-6898.27,4183,5,0.8192,0.5519,0.4739
13-4499.49,1173,4,0.3003,0.4735,0.2844
45-6015.39,8572,7,0.7324,0.4417,0.2911
36-2918.80,2391,7,0.6415,0.718,0.8879
40-1979.65,8803,7,0.4179,0.5938,0.1423
35-4188.08,7697,7,0.8482,0.5233,0.567
15-7944.75,2146,4,0.8158,0.581,0.1603
53-3309.88,9314,6,0.6164,0.4365,0.2285
39-5963.09,8649,6,0.339,0.2796,0.5698
43-7215.92,5954,7,0.5167,0.5114,0.716
31-9682.43,7592,7,0.3964,0.821,0.2467
16-9780.12,9279,6,0.3535,0.577,0.45
33-2422.44,4022,6,0.6455,0.4333,0.1281
19-5759.72,3028,8,0.4553,0.3555,0.5994
46-6658.32,1502,7,0.4304,0.5109,0.6651
13-2925.98,4239,6,0.6148,0.3518,0.2704
38-2042.04,6724,6,0.6832,0.4126,0.0924
16-8898.04,1873,7,0.5556,0.7634,0.2627
20-5993.47,7760,7,0.5672,0.441,0.5038
49-2349.45,2811,4,0.2655,0.4537,0.5437
18-2695.59,6773,7,0.5312,0.6308,0.7842
44-4931.56,6255,6,0.7189,0.7515,0.2079
18-9176.58,8208,6,0.5059,0.4489,0.1793
24-1180.34,8271,8,0.6707,0.2419,0.2317
34-5762.82,6108,8,0.7833,0.6549,0.23
34-3144.17,8222,7,0.6124,0.3984,0.2633
11-7021.40,4295,6,0.5756,0.4549,0.4022
44-6864.58,4218,8,0.6085,0.4938,0.6263
46-8115.61,8439,7,0.608,0.6696,0.6182
54-6782.65,1299,6,0.2535,0.3409,0.3235
18-5853.87,1348,8,0.6081,0.6562,0.3564
31-4549.33,4043,7,0.5462,0.3488,0.5725
13-5000.95,1572,5,0.6275,0.7215,0.4196
21-3525.51,7466,5,0.7296,0.4614,0.4375
13-4333.20,5863,6,0.4957,0.3261,0.4871
40-9765.65,6395,7,0.4022,0.6595,0.1976
30-3288.27,1124,8,0.5417,0.4071,0.2538
48-2744.75,7466,8,0.515,0.5968,0.2927
48-9014.77,1530,6,0.5749,0.4178,0.2935
53-3751.77,5422,7,0.662,0.4074,0.6803
41-8758.96,3105,4,0.5814,0.7812,0.3502
28-6183.22,5051,7,0.7733,0.4311,0.3584
33-2315.09,2762,6,0.8007,0.4824,0.5949
22-2988.00,9587,6,0.6671,0.6082,0.7359
42-6931.41,1369,4,0.6076,0.4316,0.2301
31-6706.25,6857,5,0.6266,0.5911,0.6458
16-1454.07,9454,5,0.7013,0.4412,0.6504
33-5146.70,3777,8,0.5083,0.4717,0.4727
37-4494.65,5625,7,0.9024,0.6818,0.5964
15-5805.20,7795,6,0.6186,0.6635,0.5227
19-8867.72,8915,5,0.6955,0.5887,0.2465
38-9780.69,6535,6,0.7191,0.358,0.6137
42-5380.36,5604,5,0.6184,0.252,0.3977
15-2803.57,3469,6,0.7848,0.5037,0.6175
11-7620.22,6129,4,0.5925,0.5006,0.282
48-1313.63,6213,7,0.5361,0.4941,0.3779
46-5368.12,5170,4,0.8373,0.336,0.394
22-3771.80,7382,7,0.5412,0.7852,0.1937
32-9544.12,1418,7,0.6368,0.4332,0.6802
11-5007.92,1418,5,0.6084,0.6289,0.4683
42-2791.90,6626,6,0.8873,0.3861,0.3883
23-5787.41,1551,6,0.8119,0.4324,0.5164
36-5901.59,4323,5,0.4752,0.6365,0.544
54-5091.81,8558,5,0.5417,0.185,0.2562
20-6157.55,6192,6,0.6225,0.1682,0.2401
11-4012.34,3798,7,0.5487,0.5643,0.0599
25-6697.20,3756,4,0.5324,0.7036,0.2836
42-1380.65,1698,7,0.463,0.609,0.5933
29-8578.67,9363,6,0.5598,0.528,0.7607
37-8002.27,4386,5,0.3346,0.7671,0.4164
28-3677.80,3532,7,0.3876,0.2666,0.6867
52-6311.88,3714,6,0.7794,0.7753,0.5779
42-7727.66,9699,4,0.4313,0.3331,0.4857
41-5511.64,8908,7,0.8419,0.4527,0.3557
11-5883.63,6535,5,0.5283,0.4445,0.1117
11-3211.36,6290,7,0.4114,0.7904,0.2176
40-4502.09,2146,6,0.7647,0.498,0.4918
23-4635.28,6906,6,0.5719,0.5448,0.5848
48-9315.91,5079,7,0.6255,0.391,0.3394
33-1407.87,3224,5,0.389,0.5257,0.3201
53-8045.81,8033,7,0.1191,0.3236,0.3502
50-2244.84,8670,5,0.6845,0.2419,0.1535
12-5520.74,3378,7,0.8505,0.3751,0.3726
27-5131.85,8460,7,0.47,0.2295,0.752
11-6928.57,1369,5,0.444,0.6018,0.3929
17-3387.08,7865,7,0.7354,0.5253,0.7629
29-8548.22,8481,5,0.5948,0.3793,0.565
20-6771.42,5555,6,0.5547,0.313,0.3212
19-5799.83,3490,6,0.6491,0.5903,0.2528
49-1508.30,2286,7,0.5958,0.9014,0.2107
19-1667.39,5583,7,0.8132,0.2713,0.5361
13-1453.05,9468,6,0.753,0.387,0.4259
51-5861.50,5135,8,0.6003,0.5894,0.5242
12-1927.76,6738,7,0.7582,0.2671,0.3877
51-7798.85,5394,6,0.7769,0.4328,0.491
36-8907.11,9244,6,0.6326,0.6993,0.475
46-6192.53,6507,6,0.9012,0.6735,0.2306
34-6491.51,5030,6,0.4907,0.3781,0.3279
11-6583.81,7851,8,0.8098,0.3865,0.21
39-5157.21,7347,6,0.6773,0.5835,0.4859
14-3021.70,8964,8,0.6664,0.3977,0.2586
13-9385.11,9132,5,0.8148,0.7258,0.0136
19-8748.96,4778,6,0.579,0.4635,0.2519
12-5296.04,7956,6,0.5486,0.5073,0.2789
41-6420.70,8390,8,0.7119,0.6174,0.5715
18-5739.09,2349,7,0.4041,0.8406,0.3024
18-4508.73,7508,8,0.5221,0.4585,0.0255
27-6038.93,9671,8,0.9431,0.7325,0.7214
16-3673.81,5114,5,0.5201,0.2787,0.242
38-3046.96,9629,6,0.6863,0.1576,0.4611
32-2077.05,1677,8,0.5076,0.2362,0.5593
45-1730.70,2804,8,0.4889,0.7254,0.1291
12-1526.96,1866,8,0.855,0.2944,0.6645
46-1934.36,9356,5,0.5479,0.5229,0.7635
16-6778.58,5240,7,0.5319,0.2911,0.5535
44-7776.29,8642,6,0.7036,0.4031,0.5965
24-6985.93,2713,6,0.5357,0.5261,0.3873
33-1262.75,7340,7,0.6254,0.6173,0.6814
22-3386.15,4428,7,0.785,0.716,0.4344
17-2989.95,8026,4,0.6434,0.6817,0.3864
21-6577.97,7200,8,0.7638,0.6628,0.4464
36-9219.12,6073,6,0.7894,0.724,0.3512
16-7364.36,6906,5,0.3957,0.4461,0.3114
41-4566.12,1887,8,0.7942,0.5734,0.5109
24-4926.49,6654,8,0.9315,0.341,0.522
23-1999.48,2440,7,0.9193,0.6075,0.4393
27-4302.86,2293,6,0.6605,0.6092,0.7249
21-4183.28,3987,7,0.2803,0.2996,0.3813
14-7741.56,4869,4,0.327,0.4386,0.3889
28-1395.76,1964,7,0.7903,0.3925,0.4435
41-3992.07,6920,4,0.6199,0.638,0.2658
19-6831.90,2916,7,0.6905,0.4738,0.4166
45-6882.98,7872,7,0.5263,0.5211,0.1806
25-8255.03,3693,8,0.7361,0.4429,0.6252
42-7181.78,9517,4,0.8401,0.2518,0.462
33-6459.27,7991,6,0.6499,0.7219,0.6247
52-3665.09,7333,4,0.7191,0.6044,0.483
11-1038.27,3245,6,0.418,0.2775,0.5266
53-8370.81,5338,5,0.5863,0.8304,0.3838
44-9761.40,3931,7,0.676,0.6147,0.262
28-3691.12,7802,5,0.6131,0.1201,0.4057
29-9461.97,7935,6,0.6804,0.3375,0.3381
38-4489.15,2468,6,0.4291,0.3524,0.2539
36-6005.96,4120,5,0.8086,0.5908,0.3183
49-4768.90,8565,8,0.6993,0.8481,0.5564
16-9000.47,4708,5,0.5412,0.5162,0.3005
50-9361.93,9195,4,0.5447,0.3746,0.3932
28-8872.50,5590,5,0.5321,0.3784,0.7335
24-3961.01,8278,7,0.5172,0.6153,0.5641
24-8292.94,6661,7,0.5027,0.6034,0.3599
43-7997.16,4736,6,0.3916,0.4383,0.8086
51-4845.77,6661,6,0.6302,0.345,0.2442
36-2772.74,5765,6,0.7508,0.273,0.2039
19-4146.90,2909,4,0.6159,0.6315,0.4488
18-9052.19,3595,6,0.2335,0.5047,0.2386
31-9702.74,1635,5,0.5761,0.6855,0.3724
41-7464.32,2734,7,0.443,0.5887,0.2411
26-7893.14,4561,7,0.2795,0.3428,0.4714
35-9014.74,5583,4,0.879,0.3372,0.5254
43-4942.41,5247,5,0.8448,0.5369,0.3577
23-6783.37,7123,4,0.6079,0.4148,0.7966
32-4419.97,8334,8,0.6741,0.5145,0.6227
27-2050.47,5128,8,0.638,0.3356,0.6252
24-6014.17,8544,7,0.7181,0.4724,0.357
25-6827.34,7109,6,0.528,0.6319,0.2213
28-3478.14,6325,7,0.5529,0.4391,0.5911
27-6839.76,9692,5,0.1732,0.6357,0.4838
15-5535.79,3105,6,0.6471,0.1991,0.5327
16-3270.53,8474,6,0.5672,0.2003,0.3214
21-3442.18,5135,7,0.8292,0.4978,0.607
28-4663.17,6710,6,0.3971,0.4585,0.2274
26-9597.46,4092,7,0.5965,0.4823,0.8935
11-9072.76,6780,4,0.6043,0.4389,0.5631
47-7571.07,3182,5,0.7156,0.5024,0.4907
12-8609.03,7361,7,0.7462,0.215,0.7758
38-1235.46,2468,6,0.5454,0.3952,0.9779
24-5104.79,8523,5,0.2404,0.4437,0.2717
44-7145.66,1642,7,0.5234,0.1924,0.512
31-6880.00,9699,6,0.7534,0.6613,0.0163
46-9628.82,9447,7,0.5429,0.2013,0.1546
24-1918.91,3511,5,0.6315,0.539,0.0797
38-7835.64,1208,7,0.6347,0.5271,0.1274
35-9398.06,1964,6,0.5642,0.3647,0.5182
33-2409.39,4372,6,0.5945,0.5546,0.2627
43-4880.01,4533,5,0.2912,0.2111,0.2197
23-4091.86,7585,5,0.69,0.5196,0.0824
35-9458.45,4449,6,0.8867,0.7237,0.3596
24-9298.19,5408,5,0.7717,0.2797,0.2235
47-9007.94,2237,7,0.7763,0.5854,0.8331
14-5903.96,4568,6,0.6477,0.3053,0.069
18-8895.77,1978,5,0.5872,0.6512,0.125
16-2325.92,8082,8,0.868,0.4757,0.7034
17-6399.94,7368,7,0.7581,0.4415,0.3139
52-7395.44,2643,5,0.7386,0.7447,0.4997
14-3623.56,6157,6,0.7354,0.5591,0.2958
24-5285.87,2062,6,0.8524,0.4665,0.4866
16-3773.75,7900,7,0.3167,0.4755,0.423
25-9515.72,3861,5,0.6127,0.6247,0.7325
32-8438.70,7837,4,0.7263,0.4792,0.117
43-2620.82,3119,7,0.7742,0.5192,0.1569
43-3705.90,2083,6,0.7205,0.475,0.1755
37-2562.70,5037,7,0.8051,0.6158,0.3955
28-1728.26,9041,4,0.6158,0.3342,0.3729
38-1987.07,8747,6,0.571,0.6814,0.2922
32-1824.46,2916,6,0.3789,0.5618,0.4485
30-1066.80,4673,7,0.6175,0.6613,0.0423
35-7396.41,3434,7,0.5784,0.4735,0.0493
30-9832.62,1229,6,0.7386,0.2459,0.3031
47-6397.47,3357,7,0.7763,0.2797,0.2753
27-4214.78,1229,5,0.2998,0.22,0.4598
12-9607.32,3021,6,0.7737,0.3315,0.5131
20-5435.65,3161,5,0.6343,0.2508,0.6506
40-6327.21,8586,7,0.7847,0.3573,0.208
37-5835.98,8481,4,0.8613,0.3932,0.3564
44-8758.56,7851,7,0.7679,0.4646,0.5703
19-2970.76,4463,7,0.4937,0.2788,0.2837
42-7162.49,2902,5,0.2738,0.1825,0.2103
50-6759.87,2713,5,0.806,0.656,0.3234
36-6871.45,7879,6,0.2422,0.361,0.4558
30-8331.04,2160,5,0.5944,0.5845,0.6647
22-3655.90,8068,6,0.8691,0.7905,0.4475
38-2435.33,8516,6,0.6116,0.591,0.2224
28-3964.13,6892,5,0.7946,0.6423,0.089
40-6714.09,5436,6,0.6667,0.2992,0.0985
17-8680.82,7067,6,0.6483,0.3771,0.1341
22-4117.39,2860,6,0.7548,0.3029,0.4958
19-6226.57,2468,6,0.3302,0.5659,0.219
43-8492.53,7424,7,0.7095,0.3353,0.3753
22-9681.56,8425,7,0.4925,0.2494,0.2227
37-7371.01,7564,8,0.5531,0.3451,0.6977
22-1177.82,5982,7,0.7188,0.5451,0.1776
36-8880.15,1397,7,0.32,0.4333,0.8635
45-8468.36,5436,6,0.6978,0.4931,0.7001
29-2165.42,2832,4,0.4706,0.6572,0.4389
29-2802.93,2510,4,0.8839,0.5469,0.5338
42-6234.46,2965,7,0.4084,0.2951,0.5659
33-2305.11,8292,6,0.5703,0.3905,0.3022
37-1870.30,5310,6,0.6224,0.0632,0.4146
49-3948.33,5058,5,0.7382,0.6164,0.4436
40-3461.65,7865,6,0.3278,0.854,0.5562
43-5191.31,4512,6,0.768,0.4638,0.4573
21-7737.32,5590,6,0.4767,0.5252,0.3965
39-3467.01,5317,6,0.8396,0.1229,0.3048
35-9518.03,2055,6,0.4884,0.3091,0.3775
40-4542.94,2293,6,0.5892,0.2766,0.5734
32-8416.50,3882,4,0.6428,0.5824,0.3686
48-4135.70,3595,5,0.7572,0.5928,0.6096
22-6726.35,8922,5,0.8953,0.7926,0.5197
24-3599.10,2405,5,0.5884,0.6839,0.6226
22-6471.08,2090,7,0.7043,0.6514,0.2984
43-4402.02,2685,6,0.8935,0.6344,0.4819
43-3936.13,3854,8,0.3232,0.5933,0.1591
17-3317.32,5065,6,0.465,0.2759,0.6087
47-9469.69,3700,8,0.4567,0.4825,0.5107
29-9471.35,6850,7,0.5214,0.709,0.795
41-8533.20,6766,4,0.362,0.465,0.5087
41-8355.56,7725,5,0.7394,0.6298,0.7556
18-9837.72,9230,5,0.7395,0.2734,0.2505
50-7931.46,9671,7,0.555,0.5994,0.1543
16-2669.32,3784,7,0.4819,0.4231,0.126
24-5683.23,9076,5,0.6265,0.7048,0.73
30-9822.87,1166,4,0.5686,0.598,0.1615
32-6822.39,5513,7,0.8697,0.2702,0.0768
14-4704.65,8761,5,0.1908,0.3675,0.4162
37-5378.02,9643,5,0.4533,0.6188,0.4824
13-6568.62,1845,5,0.9263,0.4198,0.3001
28-3117.82,5352,6,0.6235,0.4711,0.4039
17-5107.04,6927,7,0.7952,0.4027,0.5362
27-4550.81,7627,7,0.4007,0.4582,0.5278
18-3839.71,7851,6,0.7766,0.4069,0.2005
44-8332.98,6213,5,0.3226,0.3819,0.4563
33-5353.17,4554,5,0.8259,0.4367,0.2775
47-5301.74,7375,5,0.5073,0.7226,0.1673
52-4286.25,4575,7,0.5154,0.2634,0.1217
18-8921.71,3441,8,0.4826,0.4638,0.744
46-6087.87,1880,5,0.4772,0.4575,0.6814
36-4371.46,6668,6,0.8452,0.5131,0.5266
54-5991.85,1376,5,0.6984,0.1282,0.1213
27-7060.32,8376,6,0.7603,0.2315,0.6769
39-2213.53,6430,6,0.8698,0.6091,0.6944
